Banks:

Bank 0x000 / 0x4b6a

0x000 0
0x001 00
0x002 000
0x003 1
0x004 10
0x005 100
0x006 16
0x007 1am
0x008 2
0x009 20
0x00a 200
0x00b 2000
0x00c 3
0x00d 30
0x00e 4
0x00f 5
0x010 50
0x011 500
0x012 50g
0x013 50p
0x014 6
0x015 6pm
0x016 7
0x017 8
0x018 8am
0x019 9
0x01a 90

Bank 0x001 / 0x4baa

0x01b A
0x01c a
0x01d abandon
0x01e aboard
0x01f about
0x020 absent
0x021 absurd
0x022 abysmal
0x023 accept
0x024 accidentally
0x025 accountant
0x026 accuse
0x027 accuses
0x028 across
0x029 ad
0x02a adaptations
0x02b add
0x02c adding-up
0x02d address
0x02e Admag
0x02f Admag's
0x030 Admiral
0x031 admiral
0x032 admiral's
0x033 adopted
0x034 advert
0x035 advertise
0x036 advertising
0x037 advice
0x038 affectionate
0x039 afford
0x03a Afghan
0x03b after
0x03c afternoon
0x03d again
0x03e against
0x03f Age
0x040 age
0x041 Aged
0x042 agent
0x043 ages
0x044 aging
0x045 ago
0x046 agree
0x047 agrees

Bank 0x002 / 0x4c4c

0x048 aim
0x049 air
0x04a alarm
0x04b alcohol
0x04c alive
0x04d All
0x04e all
0x04f allowed
0x050 allows
0x051 alone
0x052 already
0x053 alternatives
0x054 always
0x055 am
0x056 amazing
0x057 Ambridge
0x058 An
0x059 an
0x05a ancient
0x05b and
0x05c animal
0x05d animals
0x05e ankle
0x05f Anon
0x060 another
0x061 answer
0x062 answers
0x063 Antrobus
0x064 any
0x065 anybody
0x066 aNYNAME
0x067 anyone
0x068 anything
0x069 anyway
0x06a apologise
0x06b apology
0x06c appalling
0x06d appear
0x06e appearance
0x06f appeared
0x070 appears
0x071 Apple
0x072 apple
0x073 apron

Bank 0x003 / 0x4cec

0x074 Archer
0x075 Archer's
0x076 Archers
0x077 are
0x078 aren't
0x079 arguing
0x07a aristocracy
0x07b aristocratic
0x07c around
0x07d arrange
0x07e arrive
0x07f arrives
0x080 artistic
0x081 as
0x082 Asia
0x083 ask
0x084 asked
0x085 asking
0x086 asks
0x087 asleep
0x088 asparagus
0x089 Assn
0x08a Association
0x08b At
0x08c at
0x08d attack
0x08e attacked
0x08f attention
0x090 attract
0x091 audience
0x092 automatic
0x093 Avenue
0x094 average
0x095 averse
0x096 avoid
0x097 awake
0x098 award
0x099 away
0x09a awful

Bank 0x004 / 0x4d76

0x09b azaleas

Bank 0x005 / 0x4d7c

0x09c back
0x09d backwards
0x09e bacon
0x09f bad
0x0a0 badly
0x0a1 Badminton
0x0a2 bags
0x0a3 Bagshawe
0x0a4 baked
0x0a5 Ball
0x0a6 ball
0x0a7 bananas
0x0a8 bank
0x0a9 Banks
0x0aa banner
0x0ab bar
0x0ac Barclays
0x0ad Barry
0x0ae basket
0x0af bathing
0x0b0 batter
0x0b1 baying
0x0b2 BBC
0x0b3 be
0x0b4 bear
0x0b5 bearded
0x0b6 because
0x0b7 becomes
0x0b8 bed
0x0b9 Bedouin
0x0ba bedroom
0x0bb beef
0x0bc been
0x0bd beer
0x0be bees
0x0bf before
0x0c0 beggar
0x0c1 begin
0x0c2 beginning
0x0c3 begrudge
0x0c4 behalf
0x0c5 behave
0x0c6 behaving
0x0c7 behaviour
0x0c8 behind
0x0c9 being
0x0ca believe
0x0cb belongings
0x0cc Bentley
0x0cd Berkeley
0x0ce berserk
0x0cf besides
0x0d0 best
0x0d1 better
0x0d2 between
0x0d3 beyond

Bank 0x006 / 0x4e3c

0x0d4 bias
0x0d5 bicycle
0x0d6 bid
0x0d7 Big
0x0d8 big
0x0d9 bigger
0x0da bike
0x0db bill
0x0dc billiard
0x0dd bird
0x0de Birdie
0x0df Birthday
0x0e0 birthday
0x0e1 biscuit
0x0e2 bit
0x0e3 bitter
0x0e4 black
0x0e5 blackberries
0x0e6 blame
0x0e7 blamed
0x0e8 blank
0x0e9 blender
0x0ea Bless
0x0eb blood
0x0ec blue
0x0ed boat
0x0ee Bob
0x0ef Bohun
0x0f0 boiled
0x0f1 bonus
0x0f2 book
0x0f3 booked
0x0f4 booking
0x0f5 Borchester
0x0f6 Boring
0x0f7 borrows
0x0f8 Borset
0x0f9 borset
0x0fa Borsetshire
0x0fb Bosporus
0x0fc both
0x0fd bottle
0x0fe bought
0x0ff bower
0x100 bowl
0x101 box
0x102 boy
0x103 boycott
0x104 Boyle
0x105 boys

Bank 0x007 / 0x4ee4

0x106 braces
0x107 braid
0x108 brandies
0x109 brave
0x10a bread
0x10b break
0x10c breakfast
0x10d breaks
0x10e breasts
0x10f breath
0x110 breathe
0x111 bribe
0x112 bridge
0x113 brilliant
0x114 bring
0x115 bringing
0x116 British
0x117 BROADCASTING
0x118 broken
0x119 brought
0x11a brown
0x11b brutal
0x11c built
0x11d Bull
0x11e bull
0x11f bundle
0x120 burden
0x121 burglars
0x122 bursts
0x123 bushes
0x124 businessman
0x125 busy
0x126 but
0x127 butties
0x128 buttonholes
0x129 buy

Bank 0x008 / 0x4f68

0x12a by
0x12b bygones

Bank 0x009 / 0x4f6f

0x12c cake
0x12d call
0x12e called
0x12f calling
0x130 calls
0x131 calm
0x132 calorie
0x133 camel
0x134 camping
0x135 can
0x136 Can't
0x137 can't
0x138 cancelled
0x139 cannot
0x13a cap
0x13b Capitalist
