Banks:

Bank 0x000 / 0x4cec

0x000 0
0x001 00
0x002 000
0x003 1
0x004 10
0x005 18
0x006 18s
0x007 2
0x008 20
0x009 25
0x00a 27
0x00b 28
0x00c 29
0x00d 2am
0x00e 3
0x00f 30
0x010 39
0x011 4
0x012 40
0x013 47
0x014 4997
0x015 5
0x016 50
0x017 6
0x018 60
0x019 63
0x01a 7
0x01b 74
0x01c 75
0x01d 75p
0x01e 8
0x01f 9

Bank 0x001 / 0x4d3e

0x020 A
0x021 a
0x022 AA
0x023 abound
0x024 about
0x025 abysmal
0x026 accepts
0x027 accidentally
0x028 accommodation
0x029 accumulate
0x02a accuse
0x02b accused
0x02c accuses
0x02d aches
0x02e acknowledge
0x02f acres
0x030 act
0x031 action
0x032 actually
0x033 add
0x034 adding
0x035 admits
0x036 Adonis
0x037 advantages
0x038 adventure
0x039 adventurous
0x03a advertise
0x03b advice
0x03c advises
0x03d aerial
0x03e affect
0x03f afford
0x040 afraid
0x041 after
0x042 afternoon
0x043 again
0x044 against
0x045 age
0x046 AGM
0x047 agony
0x048 agree
0x049 agrees

Bank 0x002 / 0x4dd6

0x04a Aid
0x04b aid
0x04c aim
0x04d air
0x04e alarm
0x04f alcohol
0x050 Aldridge
0x051 ali
0x052 all
0x053 all's
0x054 allergic
0x055 alleviated
0x056 allowance
0x057 allowed
0x058 allows
0x059 almighty
0x05a alone
0x05b along
0x05c already
0x05d also
0x05e alternatives
0x05f although
0x060 altogether
0x061 always
0x062 am
0x063 amazed
0x064 Amazon
0x065 amble
0x066 ambles
0x067 Ambridge
0x068 amends
0x069 American
0x06a amethyst
0x06b amiss
0x06c amongst
0x06d amused
0x06e an
0x06f anchovies
0x070 ancient
0x071 AND
0x072 and
0x073 Angel
0x074 animals
0x075 another
0x076 answer
0x077 anticipation
0x078 antics
0x079 Antique
0x07a antique
0x07b antiques
0x07c Antrobus
0x07d anxious
0x07e any
0x07f aNYNAME
0x080 anyone
0x081 anyone's
0x082 anything
0x083 anyway
0x084 aperitifs
0x085 Aphrodite
0x086 apologise
0x087 apology
0x088 apoplexy
0x089 apparently
0x08a appearance
0x08b appears
0x08c applaud
0x08d applicant
0x08e appreciates
0x08f approach
0x090 apron
0x091 aptly

Bank 0x003 / 0x4efb

0x092 Arabian
0x093 Archer
0x094 Archer's
0x095 Archers
0x096 are
0x097 area
0x098 argue
0x099 arming
0x09a arms
0x09b around
0x09c arrange
0x09d arrangements
0x09e arrival
0x09f arrive
0x0a0 arrives
0x0a1 art
0x0a2 artefacts
0x0a3 artichoke
0x0a4 article
0x0a5 artistic
0x0a6 artists
0x0a7 as
0x0a8 ask
0x0a9 asked
0x0aa asks
0x0ab asparagus
0x0ac aspersions
0x0ad assistant
0x0ae assume
0x0af assure
0x0b0 at
0x0b1 Atkins
0x0b2 attempt
0x0b3 attention
0x0b4 attract
0x0b5 audience
0x0b6 authenticity
0x0b7 available
0x0b8 average
0x0b9 averted
0x0ba awake
0x0bb away
0x0bc awfully

Bank 0x004 / 0x4f90

0x0bd Baba
0x0be babbling
0x0bf babies
0x0c0 Babychams
0x0c1 back
0x0c2 backhander
0x0c3 bad
0x0c4 badly
0x0c5 bag
0x0c6 bail
0x0c7 baking
0x0c8 balance
0x0c9 balls
0x0ca Balsall
0x0cb ban
0x0cc Band
0x0cd bandied
0x0ce bankrupting
0x0cf bar
0x0d0 bargains
0x0d1 Barlow
0x0d2 barometer
0x0d3 Barratt
0x0d4 Barry
0x0d5 Barry's
0x0d6 based
0x0d7 battle
0x0d8 baubles
0x0d9 bawl
0x0da BBC
0x0db be
0x0dc beams
0x0dd Bean
0x0de beans
0x0df beanshoot
0x0e0 Beauchamp
0x0e1 beauties
0x0e2 beautiful
0x0e3 Beauty
0x0e4 beauty
0x0e5 Because
0x0e6 because
0x0e7 beckon
0x0e8 beckons
0x0e9 becomes
0x0ea becoming
0x0eb bed
0x0ec bedecking
0x0ed bedouin-style
0x0ee bedtime
0x0ef Beecham
0x0f0 been
0x0f1 beet
0x0f2 before
0x0f3 begging
0x0f4 begin
0x0f5 beginning
0x0f6 begins
0x0f7 behind
0x0f8 being
0x0f9 believe
0x0fa belonged
0x0fb bemused
0x0fc benches
0x0fd beneath
0x0fe Bengalese
0x0ff Bert
0x100 best
0x101 betide
0x102 better
0x103 Bettina
0x104 Betty
0x105 between
0x106 bevvies

Bank 0x005 / 0x4f90  [repeat]

Bank 0x006 / 0x50ae

0x107 big
0x108 bill
0x109 Binky
0x10a bird
0x10b Birmingham
0x10c birthday
0x10d biscuits
0x10e bit
0x10f bits
0x110 bitter
0x111 black
0x112 Blackfriars
0x113 blackleg
0x114 blades
0x115 Blanc
0x116 blank
0x117 bless
0x118 blind
0x119 Blockbusters
0x11a blonde
0x11b blood
0x11c boards
0x11d boat
0x11e bodkin
0x11f Bogart
0x120 bogus
0x121 bombarded
0x122 Bond
0x123 bondage
0x124 Bone
0x125 bone
0x126 book
0x127 books
0x128 boorish
0x129 boost
0x12a Borchester
0x12b Borchester's
0x12c bored
0x12d boring
0x12e borrows
0x12f Borsetshire
0x130 both
0x131 bottle
0x132 bottled
0x133 bottles
0x134 bottom
0x135 bought
0x136 bouncer
0x137 bouncers
0x138 bounding
0x139 bowl
0x13a box
0x13b boxes
0x13c boy
0x13d boycotted

