Banks:

Bank 0x000 / 0x3b5b

0x000 1000
0x001 1100
0x002 15
0x003 1986
0x004 20
0x005 20-foot
0x006 3
0x007 30
0x008 39
0x009 5
0x00a 50
0x00b 6
0x00c 9
0x00d 90
0x00e 9UR

Bank 0x001 / 0x3b95

0x00f A
0x010 a
0x011 able
0x012 abomination
0x013 about
0x014 above
0x015 absurd
0x016 according
0x017 achieve
0x018 Acorn
0x019 acrid
0x01a across
0x01b active
0x01c added
0x01d additional
0x01e adjust
0x01f Adventure
0x020 adventure
0x021 Adventuredom
0x022 ADVENTURER
0x023 Adventurer
0x024 adventurers
0x025 adverts
0x026 advised
0x027 again
0x028 against
0x029 agile

Bank 0x002 / 0x3c12

0x02a air
0x02b alcove
0x02c alive
0x02d ALL
0x02e All
0x02f all
0x030 allows
0x031 almost
0x032 alone
0x033 along
0x034 already
0x035 also
0x036 am
0x037 amble
0x038 amongst
0x039 an
0x03a an
duplicate entry in dictionary: an 0x39
0x03b anchored
0x03c and
0x03d angrily
0x03e animals
0x03f another
0x040 answer
0x041 ante-room
0x042 any
0x043 anything
0x044 anyway
0x045 apparently
0x046 appear
0x047 appeared
0x048 appears
0x049 approaches

Bank 0x003 / 0x3c79

0x04a arch
0x04b arched
0x04c are
0x04d aren't
0x04e around
0x04f arts
0x050 as
0x051 ash
0x052 assorted
0x053 astonishing
0x054 AT
0x055 at
0x056 attached
0x057 attack
0x058 attacks
0x059 attain
0x05a Austin
0x05b authors
0x05c avast
0x05d Avon
0x05e away
0x05f awkward
0x060 awkwardly
0x061 axe

Bank 0x004 / 0x3cc9

0x062 back
0x063 bad
0x064 bank
0x065 bare
0x066 barren
0x067 bars
0x068 base
0x069 Bats
0x06a bats
0x06b batteries
0x06c battery
0x06d be
0x06e bead
0x06f beanstalk
0x070 beanstalks
0x071 BEAR
0x072 bear
0x073 bear's
0x074 beard
0x075 bearded
0x076 beast
0x077 beautiful
0x078 beautifully
0x079 because
0x07a becomes
0x07b bed
0x07c Bedquilt
0x07d been
0x07e before
0x07f behind
0x080 belches
0x081 beloved
0x082 below
0x083 benches
0x084 bends
0x085 beneath
0x086 beside
0x087 better
0x088 between
0x089 beyond

Bank 0x005 / 0x3cc9  [repeat]

Bank 0x006 / 0x3d4a

0x08a big
0x08b bird
0x08c birds
0x08d bit
0x08e bits
0x08f bivalve
0x090 black
0x091 bladder
0x092 blade
0x093 blast
0x094 blistering
0x095 blocked
0x096 blocking
0x097 blocks
0x098 blood
0x099 blood-metal
0x09a blood-red
0x09b blows
0x09c blurred
0x09d body
0x09e bolt
0x09f book
0x0a0 booty
0x0a1 boring
0x0a2 both
0x0a3 bottle
0x0a4 bottom
0x0a5 boulders
0x0a6 bounce
0x0a7 bounces
0x0a8 Box

Bank 0x007 / 0x3da5

0x0a9 brambles
0x0aa branch
0x0ab branches
0x0ac brandon
0x0ad brass
0x0ae bread
0x0af break
0x0b0 breath
0x0b1 brick
0x0b2 bridge
0x0b3 bridge-keeper
0x0b4 brief
0x0b5 brightly
0x0b6 brimstone
0x0b7 bring
0x0b8 bringing
0x0b9 brink
0x0ba broken
0x0bb brokenly
0x0bc brown
0x0bd BS24
0x0be bubbles
0x0bf bubbling
0x0c0 budge
0x0c1 bug
0x0c2 building
0x0c3 bumpkin
0x0c4 bunch
0x0c5 burning
0x0c6 bursts
0x0c7 but
0x0c8 but
duplicate entry in dictionary: but 0xc7
0x0c9 buy

Bank 0x008 / 0x3e12

0x0ca by
0x0cb bypasses

Bank 0x009 / 0x3e19

0x0cc C
0x0cd cage
0x0ce caged
0x0cf caked
0x0d0 came
0x0d1 can
0x0d2 can't
0x0d3 canary-sized
0x0d4 cannot
0x0d5 canyon
0x0d6 careful
0x0d7 carefully
0x0d8 carnivore
0x0d9 carpet
0x0da carry
0x0db carrying
0x0dc carved
0x0dd carvings
0x0de cascades
0x0df cascading
0x0e0 case
0x0e1 cassette
0x0e2 cast
0x0e3 catalogue
