Banks:

Bank 0x000 / 0x33b8

0x000 1
0x001 10
0x002 1986
0x003 2
0x004 3
0x005 39
0x006 4
0x007 5
0x008 6
0x009 600
0x00a 7
0x00b 8
0x00c 9
0x00d 9UR

Bank 0x001 / 0x33e4

0x00e A
0x00f a
0x010 about
0x011 above
0x012 abstract
0x013 accidentally
0x014 acid
0x015 acrid
0x016 across
0x017 act
0x018 adjust
0x019 advancing
0x01a Adventure
0x01b adventure
0x01c Adventurer
0x01d affirmative
0x01e again
0x01f against
0x020 AGALIAREPT
0x021 agate

Bank 0x002 / 0x3445

0x022 air
0x023 ajar
0x024 alarms
0x025 alcove
0x026 alive
0x027 all
0x028 ALLOWED
0x029 allows
0x02a almost
0x02b along
0x02c already
0x02d also
0x02e altogether
0x02f always
0x030 am
0x031 amble
0x032 amethyst
0x033 amidst
0x034 amythyst
0x035 an
0x036 ancient
0x037 and
0x038 angry-looking
0x039 another
0x03a answer
0x03b antenna
0x03c antique
0x03d ants
0x03e any
0x03f anything
0x040 anyway
0x041 apparent
0x042 apparently
0x043 appears
0x044 apply

Bank 0x003 / 0x34c0

0x045 aqueduct
0x046 arch
0x047 arch-way
0x048 ARCHERS
0x049 arcs
0x04a are
0x04b area
0x04c arm-rest
0x04d armed
0x04e armour
0x04f armoured
0x050 armoury
0x051 arms
0x052 army
0x053 around
0x054 as
0x055 ash
0x056 asleep
0x057 assortment
0x058 astrological
0x059 asunder
0x05a at
0x05b attack
0x05c attacking
0x05d attacks
0x05e attention
0x05f Austin
0x060 Austins
0x061 AUTHORISED
0x062 authors
0x063 Avon
0x064 await
0x065 away
0x066 axe

Bank 0x004 / 0x3549

0x067 babyish
0x068 back
0x069 backwards
0x06a bad
0x06b bag
0x06c ball
0x06d bank
0x06e barred
0x06f bars
0x070 battered
0x071 battle
0x072 be
0x073 bearded
0x074 bears
0x075 beautiful
0x076 becomes
0x077 bed
0x078 been
0x079 before
0x07a beg
0x07b beginner
0x07c behind
0x07d below
0x07e belt
0x07f bend
0x080 bending
0x081 beneath
0x082 berries
0x083 berry
0x084 beside
0x085 best
0x086 between
0x087 beyond

Bank 0x005 / 0x3549  [repeat]

Bank 0x006 / 0x35a1

0x088 big
0x089 bird
0x08a bite
0x08b bites
0x08c black
0x08d blackened
0x08e blade
0x08f blank
0x090 blindfold
0x091 bloated
0x092 block
0x093 blockage
0x094 blocked
0x095 blocks
0x096 blood
0x097 bloodless
0x098 blow
0x099 blown
0x09a blows
0x09b blue
0x09c blunting
0x09d blurs
0x09e body
0x09f bolt
0x0a0 bolted
0x0a1 bomb
0x0a2 bone
0x0a3 both
0x0a4 bottom
0x0a5 boulder
0x0a6 bounce
0x0a7 bound
0x0a8 bounding
0x0a9 bow
0x0aa Box
