Banks:

Bank 0x000 / 0x4a75

0x000 1
0x001 14
0x002 1987
0x003 20
0x004 20th
0x005 2177
0x006 25
0x007 256
0x008 500
0x009 512
0x00a 600
0x00b 72
0x00c 73
0x00d 846
0x00e 9

Bank 0x001 / 0x4ab3

0x00f A
0x010 a
0x011 A-brewing
0x012 able
0x013 abort
0x014 about
0x015 above
0x016 absorb
0x017 account
0x018 accurately
0x019 aching
0x01a acquire
0x01b acquiring
0x01c across
0x01d acted
0x01e adams
0x01f Add
0x020 add
0x021 added
0x022 adding
0x023 admire
0x024 admitted
0x025 adventure
0x026 adventurous
0x027 aethereal
0x028 afraid
0x029 after
0x02a afternoon
0x02b afterwards
0x02c again
0x02d against
0x02e age
0x02f ages
0x030 Agn
0x031 agnd
0x032 ago
0x033 agony
0x034 agreed

Bank 0x002 / 0x4b32

0x035 air
0x036 airplant
0x037 alas
0x038 Alchemical
0x039 alchemist
0x03a alchemist's
0x03b alchemists
0x03c Alchemy
0x03d alchemy
0x03e algae
0x03f algal
0x040 Alkemysts
0x041 all
0x042 all-over
0x043 all-purpose
0x044 allow
0x045 allowed
0x046 allows
0x047 Almanak
0x048 almost
0x049 alone
0x04a along
0x04b already
0x04c alright
0x04d also
0x04e always
0x04f am
0x050 amazed
0x051 amble
0x052 amongst
0x053 An
0x054 an
0x055 ancient
0x056 And
0x057 and
0x058 anger
0x059 angled
0x05a angrily
0x05b animals
0x05c animate
0x05d animation
0x05e another
0x05f answer
0x060 anti-social
0x061 Antidote
0x062 antidote
0x063 any
0x064 anyone
0x065 anything
0x066 anyway
0x067 anywhere
0x068 apart
0x069 apologise
0x06a apologised
0x06b Appearance
0x06c appeared
0x06d appetite
0x06e apple-cheeked
0x06f application

Bank 0x003 / 0x4c20

0x070 are
0x071 aren't
0x072 armour
0x073 armpits
0x074 arms
0x075 around
0x076 ARRRGGGGGHHHHH
0x077 arsehole
0x078 art
0x079 as
0x07a ascend
0x07b ask
0x07c asked
0x07d asking
0x07e aspires
0x07f asshole
0x080 asunder
0x081 at
0x082 attach
0x083 attack
0x084 attacked
0x085 attempt
0x086 attempts
0x087 attention
0x088 attitude
0x089 attract
0x08a attractive
0x08b attractively
0x08c audience
0x08d authors
0x08e average
0x08f avoid
0x090 Aw
0x091 away

Bank 0x004 / 0x4ca7

0x092 aye

Bank 0x005 / 0x4cab

0x093 Back
0x094 back
0x095 back's
0x096 backed
0x097 background
0x098 backwards
0x099 bacogn
0x09a bacon
0x09b bad
0x09c bad-tempered
0x09d badly
0x09e bagnagna
0x09f balding
0x0a0 balloon
0x0a1 balls
0x0a2 banks
0x0a3 bar
0x0a4 bark
0x0a5 barking
0x0a6 base
0x0a7 bastard
0x0a8 battling
0x0a9 be
0x0aa beagns
0x0ab beams
0x0ac bean
0x0ad beans
0x0ae beanstalk
0x0af beanstalks
0x0b0 Bearer
0x0b1 beast
0x0b2 beautiful
0x0b3 beautifully
0x0b4 beauty
0x0b5 became
0x0b6 because
0x0b7 bed
0x0b8 beds
0x0b9 beech
0x0ba been
0x0bb beer
0x0bc bees
0x0bd before
0x0be began
0x0bf Beginners
0x0c0 behavioural
0x0c1 behind
0x0c2 being
0x0c3 believe
0x0c4 believed
0x0c5 bell
0x0c6 bell-like
0x0c7 bellowed
0x0c8 below
0x0c9 beneath
0x0ca berries
0x0cb berry
0x0cc beside
0x0cd best
0x0ce bet
0x0cf better
0x0d0 between
0x0d1 beyond

Bank 0x006 / 0x4d6e

0x0d2 big
0x0d3 big-fruited
0x0d4 big-spined
0x0d5 bigger
0x0d6 bilious
0x0d7 birthday
0x0d8 bit
0x0d9 bite
0x0da Black
0x0db black
0x0dc blathering
0x0dd Blegnd
0x0de bleuch
0x0df block
0x0e0 blocked
0x0e1 blocking
