Banks:

Bank 0x000 / 0x4989

0x000 0
0x001 1
0x002 10
0x003 1000
0x004 10th
0x005 11
0x006 11pm
0x007 11th
0x008 12th
0x009 13
0x00a 13th
0x00b 14
0x00c 14th
0x00d 15th
0x00e 16th
0x00f 17th
0x010 18th
0x011 19
0x012 1986
0x013 19th
0x014 1pm
0x015 1st
0x016 2
0x017 20th
0x018 21st
0x019 22nd
0x01a 23rd
0x01b 24th
0x01c 25th
0x01d 26th
0x01e 27th
0x01f 28th
0x020 29th
0x021 2nd
0x022 3
0x023 30
0x024 30th
0x025 31st
0x026 32
0x027 38
0x028 3rd
0x029 4
0x02a 40
0x02b 42
0x02c 48
0x02d 4th
0x02e 5
0x02f 58
0x030 5th
0x031 6
0x032 64
0x033 69
0x034 6th
0x035 7
0x036 77
0x037 7th
0x038 8
0x039 8th
0x03a 9
0x03b 90
0x03c 9th

Bank 0x001 / 0x4a30

0x03d a
0x03e A's
0x03f Aabec
0x040 Aardvark
0x041 Aardwolf
0x042 able
0x043 about
0x044 above
0x045 abroad
0x046 absurdity
0x047 accident
0x048 account
0x049 ache
0x04a aching
0x04b acorn
0x04c acquaintances
0x04d across
0x04e acts
0x04f actually
0x050 add
0x051 addict
0x052 additional
0x053 address
0x054 addressed
0x055 Adrian
0x056 Adrian's
0x057 advance
0x058 adventure
0x059 advert
0x05a Aeroplane
0x05b aeroplane
0x05c affair
0x05d Afghans
0x05e Africa
0x05f AFTER
0x060 after
0x061 afterwards
0x062 again
0x063 against
0x064 age
0x065 agonising
0x066 agony
0x067 agree
0x068 agreed
0x069 agrees
0x06a ahead

Bank 0x002 / 0x4ade

0x06b Aidy
0x06c alarms
0x06d Alderman
0x06e Ale
0x06f Alfred
0x070 alienated
0x071 ALL
0x072 All
0x073 all
0x074 allowed
0x075 allows
0x076 allsorts
0x077 almost
0x078 alone
0x079 along
0x07a although
0x07b always
0x07c am
0x07d amazingly
0x07e ambition
0x07f ambitions
0x080 amongst
0x081 amusing
