Banks:

Bank 0x000 / 0x4de9

0x000 0
0x001 1
0x002 10
0x003 10th
0x004 11
0x005 11th
0x006 12
0x007 120
0x008 12th
0x009 13
0x00a 130
0x00b 13th
0x00c 14
0x00d 14th
0x00e 15
0x00f 15th
0x010 16th
0x011 17th
0x012 18th
0x013 19
0x014 1983
0x015 1986
0x016 19th
0x017 1st
0x018 2
0x019 20th
0x01a 21st
0x01b 22nd
0x01c 23rd
0x01d 24th
0x01e 25th
0x01f 26th
0x020 27th
0x021 28th
0x022 29th
0x023 2nd
0x024 3
0x025 30
0x026 30th
0x027 31p
0x028 31st
0x029 32
0x02a 37
0x02b 37p
0x02c 3rd
0x02d 4
0x02e 40
0x02f 42
0x030 48
0x031 4TH
0x032 4th
0x033 5
0x034 50p
0x035 58
0x036 5th
0x037 6
0x038 64
0x039 69
0x03a 6th
0x03b 7
0x03c 77
0x03d 7th
0x03e 8
0x03f 80p
0x040 8th
0x041 9
0x042 90
0x043 9th

Bank 0x001 / 0x4e9d

0x044 A
0x045 a
0x046 able
0x047 about
0x048 abroad
0x049 absolutely
0x04a accused
0x04b ache
0x04c aching
0x04d acquaintances
0x04e action
0x04f actually
0x050 add
0x051 added
0x052 adding
0x053 additional
0x054 address
0x055 addressed
0x056 adds
0x057 admiration
0x058 admire
0x059 admired
0x05a admirer
0x05b admit
0x05c adopting
0x05d Adrian
0x05e Adrian's
0x05f adulterous
0x060 Advanced
0x061 adventure
0x062 advert
0x063 advice
0x064 Aeroplane
0x065 afford
0x066 afraid
0x067 AFTER
0x068 after
0x069 afternoon
0x06a again
0x06b against
0x06c age
0x06d aged
0x06e ages
0x06f aggressive
0x070 agree
0x071 agreement

Bank 0x002 / 0x4f4b

0x072 Aid
0x073 airmail
0x074 Airport
0x075 airport
0x076 alcohol
0x077 Alcoholics
0x078 Alderman
0x079 Ale
0x07a Alfred
0x07b All
0x07c all
0x07d allows
0x07e alone
0x07f along
0x080 already
0x081 Alsatians
0x082 although
