Banks:

Bank 0x000 / 0x49f3

0x000 0
0x001 00
0x002 000
0x003 02
0x004 1
0x005 10
0x006 100
0x007 10th
0x008 11
0x009 11th
0x00a 12
0x00b 12th
0x00c 13
0x00d 13th
0x00e 14
0x00f 14th
0x010 15
0x011 15th
0x012 16th
0x013 17th
0x014 18th
0x015 19
0x016 1983
0x017 1986
0x018 19th
0x019 1st
0x01a 2
0x01b 20
0x01c 20th
0x01d 21st
0x01e 22nd
0x01f 23rd
0x020 24th
0x021 25
0x022 25th
0x023 26th
0x024 27th
0x025 28th
0x026 29th
0x027 2nd
0x028 3
0x029 30
0x02a 30th
0x02b 31st
0x02c 32
0x02d 350
0x02e 37p
0x02f 38
0x030 39
0x031 3rd
0x032 4
0x033 40
0x034 42
0x035 48
0x036 4th
0x037 5
0x038 50p
0x039 58
0x03a 5th
0x03b 6
0x03c 64
0x03d 69
0x03e 6th
0x03f 7
0x040 70
0x041 77
0x042 7th
0x043 8
0x044 8th
0x045 9
0x046 90
0x047 9th

Bank 0x001 / 0x4ab0

0x048 A
0x049 a
0x04a Aaaah
0x04b abandon
0x04c abandoned
0x04d able
0x04e about
0x04f above
0x050 absent
0x051 accept
0x052 accepted
0x053 account
0x054 accuse
0x055 acquaintances
0x056 across
0x057 act
0x058 acting
0x059 actor
0x05a actors
0x05b actually
0x05c adamant
0x05d adapt
0x05e add
0x05f additional
0x060 address
0x061 addressed
0x062 adjective
0x063 admit
0x064 adore
0x065 ADRAIN
0x066 Adrian
0x067 Adrian's
0x068 adults
0x069 adventure
0x06a advertising
0x06b Advice
0x06c advise
0x06d advised
0x06e Aeroplane
0x06f afford
0x070 Africa
0x071 AFTER
0x072 after
0x073 after-baby
0x074 afternoon
0x075 afterwards
0x076 again
0x077 age
0x078 agency
0x079 ages
0x07a ago
0x07b agree
0x07c agrees

Bank 0x002 / 0x4b7a

0x07d Aidy
0x07e air
0x07f airmail
0x080 alas
0x081 Alderman
0x082 Ale
0x083 ale
0x084 Alfred
0x085 All
0x086 all
0x087 allows
0x088 alone
0x089 along
0x08a already
0x08b also
0x08c alternative
0x08d although
0x08e always
0x08f am
0x090 ambitions
0x091 ambulance
0x092 American
0x093 among
0x094 amongst
0x095 an
0x096 AND
0x097 And
0x098 and
0x099 Andrew
0x09a ANDREW'S
0x09b angry
0x09c angry-looking
0x09d animal
0x09e annoying
0x09f anonymously
0x0a0 Another
0x0a1 another
0x0a2 answer
0x0a3 answers
0x0a4 Antisocial
0x0a5 any
0x0a6 ANYNAME
0x0a7 anyone
0x0a8 anything
0x0a9 anyway
0x0aa anywhere
0x0ab apart
0x0ac apologies
0x0ad apologize
0x0ae appears
0x0af appreciate
0x0b0 appropriate
0x0b1 April

Bank 0x003 / 0x4c5f

0x0b2 Arab
0x0b3 are
0x0b4 argue
0x0b5 arguing
0x0b6 argument
0x0b7 ARMISTICE
0x0b8 Armstrong
0x0b9 army
0x0ba around
0x0bb arrange
0x0bc arranged
0x0bd arrangements
0x0be arrived
0x0bf arrives
0x0c0 art
0x0c1 Arthur
0x0c2 artists
0x0c3 As
0x0c4 as
0x0c5 aside
0x0c6 Ask
0x0c7 ask
0x0c8 asked
0x0c9 asking
0x0ca asks
0x0cb assemble
0x0cc assembly
0x0cd Assistant
0x0ce assistant
0x0cf assure
0x0d0 At
0x0d1 at
0x0d2 atheist
0x0d3 athletic
0x0d4 audition
0x0d5 Auld
0x0d6 Auntie
0x0d7 Austin
0x0d8 Autocar
0x0d9 automatic
0x0da AUTUMNAL
0x0db Avenue
0x0dc average
0x0dd avoid
0x0de away
0x0df awesome
0x0e0 awful
0x0e1 awfully

Bank 0x004 / 0x4d26

0x0e2 baby
0x0e3 back
0x0e4 bad
0x0e5 bags
0x0e6 balaclava
0x0e7 bald
0x0e8 bangers
0x0e9 banging
0x0ea bANK
0x0eb bank
0x0ec bar
0x0ed Barbara
0x0ee barbecue
0x0ef barking
0x0f0 barmy
0x0f1 Barry
0x0f2 barry
0x0f3 bars
0x0f4 based
0x0f5 bat
0x0f6 Bates
0x0f7 bath
0x0f8 Baxter
0x0f9 Baz
0x0fa Baz's
0x0fb be
0x0fc beads
0x0fd beard
0x0fe beautiful
0x0ff beauty
0x100 because
0x101 become
0x102 bed
0x103 bedroom
0x104 Beeby
0x105 been
0x106 beetroot
0x107 before
0x108 beg
0x109 begin
0x10a behalf
0x10b behaviour
0x10c behind
0x10d Being
0x10e being
0x10f believe
0x110 belly
0x111 belong
0x112 belonged
0x113 Benson
0x114 berserk
0x115 Bert
0x116 bert
0x117 Bert's
0x118 bert's
0x119 beside
0x11a Best
0x11b best
0x11c bet
0x11d better
0x11e between

Bank 0x005 / 0x4d26  [repeat]

Bank 0x006 / 0x4df0

0x11f biceps
0x120 bickering
0x121 big
0x122 Bikes
0x123 billion
0x124 bin
0x125 birthday
0x126 biscuit
0x127 bit
0x128 bitterly
0x129 bizarre
0x12a black
0x12b blame
0x12c blank
0x12d blanket
0x12e bleeder
0x12f blew
0x130 bloody
0x131 blotchy
0x132 Blue
0x133 blues
0x134 BMX
0x135 bobble
0x136 BONFIRE
0x137 Bonfire
0x138 bonfire
0x139 book
0x13a booming
0x13b boot
0x13c bored
0x13d boring
0x13e bossy
0x13f Boston
0x140 both
0x141 bother
0x142 bothering
0x143 Bott
