Banks:

Bank 0x000 / 0x4b12

0x000 0
0x001 1
0x002 10
0x003 10th
0x004 11
0x005 11th
0x006 12
0x007 12pm
0x008 12th
0x009 13
0x00a 13th
0x00b 14
0x00c 14th
0x00d 15
0x00e 15th
0x00f 16th
0x010 17th
0x011 18th
0x012 19
0x013 1986
0x014 19th
0x015 1st
0x016 2
0x017 20
0x018 2025
0x019 20th
0x01a 21st
0x01b 22
0x01c 22nd
0x01d 23rd
0x01e 24th
0x01f 25
0x020 25th
0x021 26th
0x022 27th
0x023 28th
0x024 29th
0x025 2nd
0x026 3
0x027 30
0x028 30pm
0x029 30th
0x02a 31st
0x02b 32
0x02c 38
0x02d 3rd
0x02e 4
0x02f 40
0x030 42
0x031 45
0x032 48
0x033 4th
0x034 5
0x035 500
0x036 58
0x037 5P
0x038 5th
0x039 6
0x03a 64
0x03b 69
0x03c 6th
0x03d 7
0x03e 77
0x03f 7am
0x040 7th
0x041 8
0x042 88
0x043 8th
0x044 9
0x045 90
0x046 9th

Bank 0x001 / 0x4bca

0x047 A
0x048 a
0x049 abandon
0x04a able
0x04b about
0x04c absense
0x04d absolutely
0x04e access
0x04f accident
0x050 accidentally
0x051 according
0x052 account
0x053 acquaintances
0x054 across
0x055 act
0x056 ad
0x057 add
0x058 additional
0x059 address
0x05a adds
0x05b Adidas
0x05c adjust
0x05d adjusting
0x05e admire
0x05f Adrian
0x060 Adrian's
0x061 advanced
0x062 adventure
0x063 advice
0x064 Aeroplane
0x065 afar
0x066 after
0x067 afternoon
0x068 again
0x069 against
0x06a age
0x06b ages
0x06c agree
0x06d agreed
0x06e agrees

Bank 0x002 / 0x4c58

0x06f aid
0x070 aids
0x071 Ain't
0x072 ain't
0x073 Air
0x074 air
0x075 alarm
0x076 Ale
0x077 Alfred
0x078 All
0x079 aLL
0x07a all
0x07b allow
0x07c allowed
0x07d allows
0x07e alone
0x07f already
0x080 also
0x081 although
0x082 always
0x083 AM
0x084 am
0x085 amazing
