Banks:

Bank 0x000 / 0x6040

0x000 1
0x001 1988
0x002 21st
0x003 23
0x004 24a
0x005 3
0x006 30
0x007 300
0x008 501
0x009 752
0x00a 9
0x00b 97

Bank 0x001 / 0x606e

0x00c A
0x00d a
0x00e aaaah
0x00f abjectly
0x010 abort
0x011 about
0x012 above
0x013 absently
0x014 acceptance
0x015 accidentally
0x016 accommodation
0x017 according
0x018 account
0x019 acknowledgement
0x01a acquire
0x01b across
0x01c Act
0x01d adams
0x01e added
0x01f admitted
0x020 adventure
0x021 adventurous
0x022 advert
0x023 advertisement
0x024 aforesaid
0x025 afraid
0x026 after
0x027 afternoon
0x028 afterwards
0x029 again
0x02a against
0x02b agent
0x02c ages
0x02d Aggie
0x02e agnciegnt
0x02f agnyway
0x030 agnywhere
0x031 ago
0x032 agreed
0x033 Ah
0x034 ah
0x035 ahead

Bank 0x002 / 0x6110

0x036 aimed
0x037 air
0x038 ale
0x039 All
0x03a all
0x03b allows
0x03c alone
0x03d along
0x03e alongside
0x03f already
0x040 also
0x041 always
0x042 am
0x043 amazement
0x044 amazingly
0x045 amble
0x046 among
0x047 amongst
0x048 amusing
0x049 an
0x04a ancient
0x04b and
0x04c And
0x04d and
duplicate entry in dictionary: and 0x4b
0x04e angrily
0x04f animals
0x050 another
0x051 answer
0x052 answered
0x053 answering
0x054 any
0x055 anygnome
0x056 anyhow
0x057 Anyone
0x058 anything
0x059 anyway
0x05a anywhere
0x05b ape
0x05c appeared
0x05d applauded
0x05e applause
0x05f apple
0x060 approached
0x061 apron

Bank 0x003 / 0x619f

0x062 Arback
0x063 Arback's
0x064 are
0x065 arm
0x066 Armillaria
0x067 armillaria
0x068 Armillaria's
0x069 arms
0x06a around
0x06b arr
0x06c arranged
0x06d arrangements
0x06e arrive
0x06f arriving
0x070 ARRRGGGGGHHHHH
0x071 Arrrgh
0x072 arsehole
0x073 article
0x074 as
0x075 ascend
0x076 ash
0x077 ashtray
0x078 ask
0x079 askance
0x07a asked
0x07b asshole
0x07c at
0x07d ate
0x07e attach
0x07f attack
0x080 attacked
0x081 attention
0x082 attract
0x083 audience
0x084 Aunt
0x085 aunt
0x086 Auntie
0x087 Aunty
0x088 average
0x089 avoiding
0x08a away
0x08b awful
0x08c axe

Bank 0x004 / 0x6252

0x08d b
0x08e baboon
0x08f Back
0x090 back
0x091 backdoor
0x092 bad
0x093 bad-temperedly
0x094 badly
0x095 bag
0x096 bain't
0x097 baker
0x098 baking
0x099 ball
0x09a bank
0x09b Banks
0x09c bantam
0x09d bantams
0x09e bar
0x09f bargnome
0x0a0 Bark-a-bark-bark
0x0a1 barked
0x0a2 barking
0x0a3 barman
0x0a4 barn
0x0a5 bartender
0x0a6 base
0x0a7 bash
0x0a8 bastard
0x0a9 bath
0x0aa batting
0x0ab battle
0x0ac batty
0x0ad be
0x0ae beach
0x0af beacon
0x0b0 bean
0x0b1 bear
0x0b2 beast
0x0b3 beat
0x0b4 because
0x0b5 bed
0x0b6 bedding
0x0b7 bedroom
0x0b8 bedrooms
0x0b9 been
0x0ba beer
0x0bb beetroot
0x0bc beetroots
0x0bd before
0x0be began
0x0bf began
duplicate entry in dictionary: began 0xbe
0x0c0 Begorra
0x0c1 begorrah
0x0c2 behind
0x0c3 beigng
0x0c4 being
0x0c5 believe
0x0c6 believed
