Banks:

Bank 0x000 / 0x59ca

0x000 1988
0x001 3
0x002 600
0x003 9

Bank 0x001 / 0x59de

0x004 A
0x005 a
0x006 aaaaargh
0x007 abandoned
0x008 able
0x009 abort
0x00a about
0x00b above
0x00c absently
0x00d abuse
0x00e according
0x00f account
0x010 aches
0x011 acknowledgement
0x012 acorns
0x013 acquire
0x014 Acre
0x015 acre
0x016 across
0x017 action
0x018 active
0x019 actually
0x01a adams
0x01b added
0x01c adventure
0x01d advert
0x01e afore
0x01f afraid
0x020 after
0x021 aftergnoon
0x022 afternoon
0x023 again
0x024 against
0x025 agent
0x026 agny
0x027 agreed
0x028 agreement
0x029 Ah
0x02a ah
0x02b ahead

Bank 0x002 / 0x5a64

0x02c aimed
0x02d air
0x02e alcoholic
0x02f Ale
0x030 All
0x031 all
0x032 allows
0x033 almost
0x034 alone
0x035 along
0x036 already
0x037 also
0x038 always
0x039 am
0x03a amateur's
0x03b amazed
0x03c Amber
0x03d amble
0x03e Ambul
0x03f amongst
0x040 an
0x041 And
0x042 and
0x043 angrily
0x044 angry
0x045 ankle
0x046 ankles
0x047 announced
0x048 Another
0x049 another
0x04a anthem
0x04b any
0x04c anybody
0x04d anymore
0x04e anyone
0x04f anything
0x050 anywhere
0x051 apart
0x052 appear
0x053 appeared
0x054 apple
0x055 appreciated
0x056 apprehensively

Bank 0x003 / 0x5af7

0x057 Arback
0x058 arback
0x059 are
0x05a area
0x05b aregn't
0x05c arm
0x05d arms
0x05e around
0x05f arranged
0x060 arrived
0x061 ARRRGGGGGHHHHH
0x062 arsehole
0x063 as
0x064 ascend
0x065 ash
0x066 ashes
0x067 aside
0x068 ask
0x069 askance
0x06a asked
0x06b aspirin
0x06c asshole
0x06d At
0x06e at
0x06f ate
0x070 attach
0x071 attached
0x072 attack
0x073 attempt
0x074 attempts
0x075 avalanche
0x076 average
0x077 away
0x078 axe
0x079 axle

Bank 0x004 / 0x5b74

0x07a aye

Bank 0x005 / 0x5b78

0x07b Back
0x07c back
0x07d bad
0x07e badly
0x07f bag
0x080 bald
0x081 baleful
0x082 Bane
0x083 bane
0x084 Bane's
0x085 bane's
0x086 bang
0x087 banging
0x088 banned
0x089 bantam
0x08a bantams
0x08b bar
0x08c barbarous
0x08d bare
0x08e barely
0x08f barked
0x090 Barn
0x091 barn
0x092 barned
0x093 bars
0x094 bash
0x095 bashed
0x096 bashing
0x097 bastard
0x098 bat
0x099 bath
0x09a battered
0x09b be
0x09c beady
0x09d bean
0x09e beard
0x09f beautiful
0x0a0 because
0x0a1 becoming
0x0a2 bed
0x0a3 bedding
0x0a4 bedroom
0x0a5 bedrooms
0x0a6 been
0x0a7 beer
0x0a8 before
0x0a9 began
0x0aa begneath
0x0ab begorra
0x0ac behemoth
0x0ad behind
0x0ae being
0x0af belched
0x0b0 bell
0x0b1 bell-shaped
0x0b2 below
0x0b3 bend
0x0b4 beneath
0x0b5 beside
0x0b6 best
0x0b7 best-built
0x0b8 bet
0x0b9 better
0x0ba between
0x0bb beverage
0x0bc beyond

Bank 0x006 / 0x5c35

0x0bd biceps
0x0be big
0x0bf billowed
0x0c0 biscuits
0x0c1 bit
0x0c2 Bite
0x0c3 bite
0x0c4 bits
0x0c5 bitten
0x0c6 black
0x0c7 black-hearted
0x0c8 blame
0x0c9 blamed
0x0ca bless
0x0cb blew
0x0cc block
0x0cd blocked
0x0ce blocking
0x0cf bloodshot
0x0d0 bloody
0x0d1 blowing
0x0d2 BLUE
0x0d3 blue
0x0d4 bo'le's
0x0d5 Bodger
0x0d6 body
0x0d7 bog
0x0d8 bogged
0x0d9 boggy
0x0da boil
0x0db boiled
0x0dc bollocks
0x0dd bone
0x0de book
0x0df boot
0x0e0 boots
0x0e1 booty
0x0e2 both
0x0e3 Bother
0x0e4 bother
0x0e5 bothered
0x0e6 bothering
0x0e7 bottle
0x0e8 bottom
0x0e9 Bottomlow
0x0ea Bottomlows
0x0eb bought
0x0ec bounced
0x0ed bouncy
0x0ee bound
0x0ef bowl

Bank 0x007 / 0x5cdd

0x0f0 brain
0x0f1 brake
0x0f2 branches
0x0f3 bread
0x0f4 breadcrumbs
0x0f5 break
0x0f6 breath
0x0f7 breeze
0x0f8 brick
0x0f9 brief
0x0fa bright
0x0fb bringing
0x0fc brings
0x0fd briskly
0x0fe broke
0x0ff broken
0x100 brother
0x101 brothers
0x102 brought
0x103 brow
0x104 brows
0x105 brute
0x106 bs24
0x107 bucket
0x108 budge
0x109 bugger
0x10a builders
0x10b building
0x10c built
0x10d bulging
0x10e Bumpy
0x10f bunch
0x110 buried
0x111 burrow
0x112 burst
0x113 bury
0x114 bush
0x115 busy
0x116 but
0x117 butt
0x118 buttered
0x119 Butterpat
0x11a buy

Bank 0x008 / 0x5d5c

0x11b by
0x11c bye

Bank 0x009 / 0x5d60

