Banks:

Bank 0x000 / 0x5cb0

0x000 0101010
0x001 026943
0x002 031268
0x003 052488738
0x004 054662537
0x005 063115168
0x006 06315168
0x007 076354
0x008 100
0x009 1000
0x00a 1001
0x00b 1263
0x00c 151
0x00d 192
0x00e 1988
0x00f 4
0x010 49
0x011 521
0x012 888155
0x013 9

Bank 0x001 / 0x5d4c

0x014 A
0x015 a
0x016 Aaaaargh
0x017 aboard
0x018 abort
0x019 about
0x01a above
0x01b absently
0x01c absolute
0x01d accent
0x01e accepted
0x01f according
0x020 accounting
0x021 accounts
0x022 acknowledgement
0x023 acquire
0x024 acres
0x025 across
0x026 active
0x027 actually
0x028 adams
0x029 added
0x02a adding
0x02b addition
0x02c adds
0x02d admire
0x02e admired
0x02f Adventure
0x030 adventure
0x031 advertising
0x032 advised
0x033 after
0x034 after-shave
0x035 afternoon
0x036 again
0x037 against
0x038 age
0x039 agency
0x03a Agents
0x03b agree
0x03c agreed
0x03d agreement
0x03e Ah
0x03f ah
0x040 aha
0x041 ahead

Bank 0x002 / 0x5df2

0x042 ain't
0x043 air
0x044 airy
0x045 ajar
0x046 ale
0x047 all
0x048 allowed
0x049 allows
0x04a almost
0x04b alone
0x04c along
0x04d already
0x04e also
0x04f although
0x050 always
0x051 am
0x052 amble
0x053 among
0x054 amongst
0x055 ample
0x056 an
0x057 And
0x058 and
0x059 Andy
0x05a angles
0x05b angrily
0x05c announce
0x05d announced
0x05e another
0x05f answer
0x060 answered
0x061 answering
0x062 antiques
0x063 any
0x064 anygnome
0x065 anyone
0x066 anything
0x067 anyway
0x068 anywhere
0x069 apologised
0x06a apology
0x06b apparently
0x06c appeared
0x06d applauded
0x06e approximately
0x06f apron

Bank 0x003 / 0x5e88

0x070 arched
0x071 are
0x072 argue
0x073 Armillaria
0x074 armillaria
0x075 arms
0x076 around
0x077 arr
0x078 arranged
0x079 arrived
0x07a ARRRGGGGGHHHHH
0x07b arsehole
0x07c art
0x07d art's
0x07e artist
0x07f As
0x080 as
0x081 ascend
0x082 ash
0x083 ashen-faced
0x084 Ashleaf
0x085 ask
0x086 askance
0x087 asked
0x088 asshole
0x089 assortment
0x08a at
0x08b ate
0x08c attach
0x08d attack
0x08e attempts
0x08f attic
0x090 Auctions
0x091 automatically
0x092 available
0x093 avenue
0x094 average
0x095 away
0x096 axe

