Banks:

Bank 0x000 / 0x4df4

0x000 1000
0x001 123456789
0x002 1987
0x003 25
0x004 9

Bank 0x001 / 0x4e1a

0x005 A
0x006 a
0x007 able
0x008 abort
0x009 about
0x00a above
0x00b abruptly
0x00c absolutely
0x00d accent
0x00e accompany
0x00f ached
0x010 acknowledgement
0x011 acquire
0x012 acre
0x013 across
0x014 activision
0x015 adams
0x016 adjusting
0x017 advance
0x018 adventure
0x019 advice
0x01a advise
0x01b affirmative
0x01c after
0x01d afternoon
0x01e again
0x01f against
0x020 aggressive
0x021 agile
0x022 agony
0x023 agree
0x024 agreed
0x025 agreement
0x026 agrees

Bank 0x002 / 0x4e92

0x027 aim
0x028 air
0x029 alcoholic
0x02a alder
0x02b ale
0x02c alert
0x02d alive
0x02e all
0x02f allies
0x030 allow
0x031 allowed
0x032 allows
0x033 almost
0x034 Alnus
0x035 alone
0x036 along
0x037 already
0x038 also
0x039 alternative
0x03a although
0x03b always
0x03c am
0x03d amazement
0x03e Amazon
0x03f amble
0x040 amidst
0x041 An
0x042 an
0x043 and
0x044 and
duplicate entry in dictionary: and 0x43
0x045 anderen
0x046 angrily
0x047 angry
0x048 animal
0x049 animals
0x04a ankle-deep
0x04b Annihilator
0x04c annoyed
0x04d another
0x04e ansonsten
0x04f ant
0x050 ant-head
0x051 ant-warrior
0x052 Any
0x053 any
0x054 anybody
0x055 Anyone
0x056 anyone
0x057 anything
0x058 anyway
0x059 anywhere
0x05a apart
0x05b apparently
0x05c appear
0x05d appearance
0x05e appears
0x05f apple
0x060 approaching

Bank 0x003 / 0x4f60

0x061 Aquifolium
0x062 arc
0x063 archway
0x064 Are
0x065 are
0x066 area
0x067 aren't
0x068 arena
0x069 Aria
0x06a armchairs
0x06b armed
0x06c armour
0x06d armoured
0x06e armpit
0x06f army
0x070 around
0x071 arrrrrggggghhhhhhh
0x072 arsehole
0x073 Art
0x074 art
0x075 artist
0x076 as
0x077 ascend
0x078 ascent
0x079 ask
0x07a asked
0x07b assault
0x07c asshole
0x07d at
0x07e attach
0x07f attack
0x080 attacked
0x081 attackers
0x082 attacking
0x083 attempt
0x084 attempts
0x085 attend
0x086 Attila
0x087 attract
0x088 attractive
0x089 Aucuparia
0x08a auf
0x08b Autumn
0x08c Autumns
0x08d Avellana
0x08e avoid
0x08f awake
0x090 away
0x091 awesomely
0x092 axe
0x093 axe-head

Bank 0x004 / 0x5016

0x094 B
0x095 back
0x096 backwards
0x097 bad
0x098 badly
0x099 bald
0x09a ball
0x09b baneful
0x09c banned
0x09d bar
0x09e barbarian
0x09f bare
0x0a0 barely
0x0a1 barely-edible
0x0a2 bark
0x0a3 barkeeper
0x0a4 Barney
0x0a5 barrel
0x0a6 barrow
0x0a7 bartender
0x0a8 base
0x0a9 bastard
0x0aa batter
0x0ab battered
0x0ac be
0x0ad beams
0x0ae bearings
0x0af beast
0x0b0 beat
0x0b1 became
0x0b2 because
0x0b3 becomes
0x0b4 becoming
0x0b5 beds
0x0b6 Beech
0x0b7 beech
0x0b8 beef
0x0b9 been
0x0ba beer
0x0bb before
0x0bc beggar
0x0bd behave
0x0be behead
0x0bf beheads
0x0c0 behind
0x0c1 beide
0x0c2 being
0x0c3 beings
0x0c4 belabour
0x0c5 bells
0x0c6 below
0x0c7 belt
0x0c8 benches
0x0c9 beneath
0x0ca berries
0x0cb beside
0x0cc best
0x0cd better
0x0ce Betulus
0x0cf between
0x0d0 beyond

Bank 0x005 / 0x5016  [repeat]

Bank 0x006 / 0x50ca

0x0d1 big
0x0d2 billowing
0x0d3 bindings
0x0d4 birch-like
0x0d5 bird
0x0d6 birds
0x0d7 bist
0x0d8 bit
0x0d9 bite
0x0da bites
0x0db bitter
0x0dc black
0x0dd black-ash
0x0de blackthorn
0x0df blade
0x0e0 blasting
0x0e1 blathering
0x0e2 blatts
0x0e3 blieb
0x0e4 blinding
0x0e5 block
0x0e6 blocks
0x0e7 blood
0x0e8 blood-shot
0x0e9 bloodshot
0x0ea bloody
0x0eb blow
0x0ec blown
0x0ed blows
0x0ee blubbery
0x0ef blue
0x0f0 blunt
0x0f1 Boadicea
0x0f2 board
0x0f3 boards
0x0f4 bodies
0x0f5 body
0x0f6 boggit-man
0x0f7 bogside
