Banks:

Bank 0x000 / 0x4431

0x000 1
0x001 1000
0x002 1987
0x003 3
0x004 9

Bank 0x001 / 0x4446

0x005 A
0x006 a
0x007 aargh
0x008 ability
0x009 able
0x00a abound
0x00b about
0x00c above
0x00d accepted
0x00e acid
0x00f acknowledgement
0x010 across
0x011 actor
0x012 admiring
0x013 adulterated
0x014 adventure
0x015 advertising
0x016 affected
0x017 after
0x018 again
0x019 against
0x01a agreement
0x01b agrees
0x01c aha
0x01d Ahh

Bank 0x002 / 0x44a1

0x01e air
0x01f ajar
0x020 alarm
0x021 alive
0x022 All
0x023 all
0x024 allies
0x025 allowed
0x026 allows
0x027 almost
0x028 already
0x029 also
0x02a am
0x02b amazed
0x02c amazingly
0x02d Amazon
0x02e amber
0x02f amongst
0x030 amphibian
0x031 amusing
0x032 An
0x033 an
0x034 ancient
0x035 and
0x036 and
duplicate entry in dictionary: and 0x35
0x037 anderen
0x038 angrily
0x039 ankle
0x03a another
0x03b ansonsten
0x03c anthill
0x03d ants
0x03e any
0x03f anybody
0x040 Anyone
0x041 anyone
0x042 anything
0x043 apart
0x044 appallingly
0x045 apparently
0x046 appear
0x047 appearance
0x048 appears
0x049 apple

Bank 0x003 / 0x4536

0x04a archway
0x04b Are
0x04c are
0x04d aren't
0x04e argue
0x04f arm
0x050 armed
0x051 armour
0x052 armoured
0x053 arms
0x054 army
0x055 around
0x056 arrives
0x057 arriving
0x058 arrows
0x059 artist
0x05a as
0x05b ask
0x05c asleep
0x05d assaulted
0x05e at
0x05f atmospheric
0x060 attach
0x061 attack
0x062 attempt
0x063 attempts
0x064 attention
0x065 attract
0x066 auf
0x067 available
0x068 average
0x069 await
0x06a awake
0x06b away
0x06c awful
0x06d axes

Bank 0x004 / 0x45a1

0x06e babbles
0x06f back
0x070 background
0x071 backing
0x072 backs
0x073 bad
0x074 badly
0x075 baffled
0x076 baffles
0x077 ball
0x078 bang
0x079 bank
0x07a Barbarian
0x07b barely
0x07c bares
0x07d bark
0x07e Barney
0x07f barrow
0x080 base
0x081 basket
0x082 bat
0x083 batter
0x084 battery
0x085 battlements
0x086 be
0x087 beady
0x088 beat
0x089 beats
0x08a beauty
0x08b because
0x08c become
0x08d becomes
0x08e becoming
0x08f bed
0x090 bedding
0x091 bedroom
0x092 been
0x093 before
0x094 beginning
0x095 behind
0x096 beide
0x097 being
0x098 belabour
0x099 belches
0x09a bellowing
0x09b bellows
0x09c below
0x09d benefit
0x09e bent
0x09f beside
0x0a0 best
0x0a1 bet
0x0a2 better
0x0a3 between
0x0a4 beyond

Bank 0x005 / 0x45a1  [repeat]

Bank 0x006 / 0x4640

0x0a5 big
0x0a6 bigger
0x0a7 billet
0x0a8 birch
0x0a9 bird
0x0aa bist
0x0ab bit
0x0ac bite
0x0ad bitten
0x0ae black
0x0af black-bearded
0x0b0 blasted
0x0b1 blend
0x0b2 blieb
0x0b3 block
0x0b4 blocked
0x0b5 blocking
0x0b6 blood
0x0b7 Bloodeagle
0x0b8 blotches
0x0b9 blow
0x0ba blows
0x0bb blue
0x0bc board
0x0bd bodgers
0x0be body
0x0bf boiinnnggg
0x0c0 boiling
0x0c1 bolt
0x0c2 bolts
0x0c3 bone-chilling
0x0c4 bones
0x0c5 bonfire
0x0c6 boojum
0x0c7 book
0x0c8 books
0x0c9 boss
0x0ca bother
0x0cb bounce
0x0cc bounces
0x0cd bowls

Bank 0x007 / 0x46bc

0x0ce Brains
0x0cf Brainz
0x0d0 Brainz's
0x0d1 Brandon
0x0d2 brass
0x0d3 break
0x0d4 breathe
0x0d5 breathes
0x0d6 bridge
0x0d7 brief
0x0d8 briefly
0x0d9 bright
0x0da brighter
0x0db brightly
0x0dc brilliantly
0x0dd bring
0x0de brings
0x0df broadsword
0x0e0 bronze
0x0e1 brooch
0x0e2 brought
0x0e3 brown
0x0e4 Brunhilde
0x0e5 brute
0x0e6 bubble
0x0e7 budge
0x0e8 Bug
0x0e9 bugging
0x0ea bulk
0x0eb bully
0x0ec bump
0x0ed bumps
0x0ee bundle
0x0ef buries
0x0f0 burn
0x0f1 burning
0x0f2 burns
0x0f3 bury
0x0f4 bush
0x0f5 busy
0x0f6 but
0x0f7 Butcher's
0x0f8 butter
0x0f9 button
0x0fa buy
0x0fb buzz

Bank 0x008 / 0x474d

0x0fc by
0x0fd bye

Bank 0x009 / 0x4751

0x0fe c
0x0ff Can
0x100 can
0x101 can't
0x102 candlestick
0x103 cankerous
0x104 capable
0x105 capacious
0x106 captured
0x107 card
0x108 caretaker
0x109 carries
0x10a carry
0x10b carrying
0x10c carved
0x10d case
0x10e cashier
0x10f cassette
0x110 cast
0x111 CASTLE
0x112 castle
0x113 casts
0x114 cat
0x115 catalog
0x116 catch
0x117 catches
0x118 cave
0x119 cell
0x11a centre
0x11b chain
0x11c champion
0x11d chance
0x11e change
0x11f changes
0x120 chariot
0x121 CHARISMA
0x122 charisma
0x123 chase
0x124 cheekily
0x125 cheese
0x126 chequered
0x127 cherubs
0x128 chest
0x129 chew
0x12a chewing
0x12b child
0x12c choices
0x12d chop
0x12e christ
0x12f chuckles
0x130 chunk
0x131 chunks
0x132 chunky

Bank 0x00a / 0x4805

0x133 cider
0x134 circle
0x135 circles
0x136 circular
0x137 clad
0x138 clamber
0x139 claps
0x13a clashes
0x13b claw
0x13c claws
0x13d clean
0x13e cleaner
0x13f cleanly
0x140 clear
0x141 CLEARING
0x142 clearing
0x143 clearly
0x144 clears
0x145 cleave
0x146 clenched
0x147 clever
0x148 cleverly
0x149 cleverness
0x14a click
0x14b climb
0x14c climbing
0x14d climbs
0x14e clip
0x14f clipped
0x150 cloak
0x151 close
0x152 closed
0x153 closes
0x154 closing
0x155 clothes
0x156 cloud
0x157 clouds
0x158 clove
0x159 club
0x15a clue
0x15b clunk
0x15c clutches
0x15d coarsely
0x15e coin
