Banks:

Bank 0x000 / 0x5809

0x000 10
0x001 1000
0x002 1988
0x003 1989
0x004 39
0x005 9
0x006 9's

Bank 0x001 / 0x5826

0x007 A
0x008 a
0x009 able
0x00a abort
0x00b about
0x00c above
0x00d accept
0x00e accepted
0x00f accomplished
0x010 accord
0x011 accumulated
0x012 accusation
0x013 accused
0x014 accustomed
0x015 achieve
0x016 achieves
0x017 acknowledged
0x018 acknowledgement
0x019 acquire
0x01a across
0x01b actions
0x01c add
0x01d added
0x01e adjusted
0x01f admiring
0x020 admit
0x021 adulterer
0x022 adulteress
0x023 adultery
0x024 adventure
0x025 adventures
0x026 afar
0x027 afeared
0x028 affection
0x029 afraid
0x02a after
0x02b afternoon
0x02c afterwards
0x02d again
0x02e against
0x02f age
0x030 Agravain
0x031 agree
0x032 agreed
0x033 ahead

Bank 0x002 / 0x58d0

0x034 aid
0x035 aide
0x036 air
0x037 airy
0x038 Alas
0x039 alas
0x03a ale
0x03b Aliduke
0x03c alit
0x03d All
0x03e all
0x03f allowed
0x040 almost
0x041 aloft
0x042 alone
0x043 along
0x044 aloof
0x045 already
0x046 also
0x047 altar
0x048 although
0x049 always
0x04a am
0x04b amble
0x04c amends
0x04d amidst
0x04e among
0x04f amongst
0x050 An
0x051 an
0x052 ancient
0x053 and
0x054 anger
0x055 angrily
0x056 angry
0x057 animal
0x058 ankles
0x059 annoyed
0x05a another
0x05b answer
0x05c antiquity
0x05d antlers
0x05e anxiety
0x05f any
0x060 anything
0x061 anywhere
0x062 apace
0x063 apart
0x064 apologetic
0x065 apologized
0x066 appeared
0x067 approaching
0x068 approving

Bank 0x003 / 0x5972

0x069 archer
0x06a archers
0x06b archway
0x06c are
0x06d argued
0x06e aright
0x06f arm
0x070 armed
0x071 armour
0x072 armoured
0x073 arms
0x074 aroma
0x075 around
0x076 arrested
0x077 arrival
0x078 arrived
0x079 arrogant
0x07a arrogantly
0x07b ARROW
0x07c Arrrgggghhhhh
0x07d arsehole
0x07e Arthur
0x07f arthur
0x080 Arthur's
0x081 As
0x082 as
0x083 ascend
0x084 aside
0x085 ask
0x086 askance
0x087 asked
0x088 assembled
0x089 asshole
0x08a assume
0x08b at
0x08c ate
0x08d atop
0x08e attach
0x08f attack
0x090 attacked
0x091 attacking
0x092 attempt
0x093 attend
0x094 attention
0x095 attic
0x096 avail
0x097 avoid
0x098 awakened
0x099 away
0x09a awoke

Bank 0x004 / 0x5a18

0x09b back
0x09c backwards
0x09d bade
0x09e badly
0x09f balance
0x0a0 balcony
0x0a1 bangle
0x0a2 banished
0x0a3 banks
0x0a4 barbarous
0x0a5 bare
0x0a6 bargain
0x0a7 barked
0x0a8 barking
0x0a9 barn-trained
0x0aa barred
0x0ab bars
0x0ac base
0x0ad bastard
0x0ae bathe
0x0af battered
0x0b0 battle
0x0b1 battlements
0x0b2 battles
0x0b3 baying
0x0b4 Be
0x0b5 be
0x0b6 beams
0x0b7 bear
0x0b8 beard
0x0b9 bearing
0x0ba beat
0x0bb beating
0x0bc beautiful
0x0bd became
0x0be because
0x0bf beckoned
0x0c0 become
0x0c1 bed
0x0c2 bedchamber
0x0c3 bedraggled
0x0c4 bedraggled-looking
0x0c5 beds
0x0c6 been
0x0c7 befit
0x0c8 befitted
0x0c9 before
0x0ca beg
0x0cb began
0x0cc beggar
0x0cd begged
0x0ce begin
0x0cf beginning
0x0d0 behavior
0x0d1 behind
0x0d2 being
0x0d3 belaboured
0x0d4 belch
0x0d5 belched
0x0d6 beloved
0x0d7 below
0x0d8 belt
0x0d9 bend
0x0da beneath
0x0db bent
0x0dc beside
0x0dd besieged
0x0de best
0x0df better
0x0e0 between
0x0e1 betwixt
0x0e2 beyond
0x0e3 bezants

