Banks:

Bank 0x000 / 0x2bbc

0x000 10
0x001 15
0x002 1986
0x003 28
0x004 3
0x005 34
0x006 374
0x007 658
0x008 7
0x009 9

Bank 0x001 / 0x2be3

0x00a A
0x00b a
0x00c about
0x00d above
0x00e absolutely
0x00f absorbs
0x010 accept
0x011 acquire
0x012 across
0x013 adams
0x014 addressing
0x015 adjust
0x016 adventure
0x017 adventurer
0x018 advice
0x019 affected
0x01a affirmative
0x01b after
0x01c afternoon
0x01d again
0x01e age
0x01f agree
0x020 Ah

Bank 0x002 / 0x2c34

0x021 air
0x022 airborne
0x023 alcove
0x024 alert
0x025 all
0x026 all-powerful
0x027 allows
0x028 alloy
0x029 almost
0x02a alone
0x02b along
0x02c already
0x02d also
0x02e altar
0x02f alternate
0x030 am
0x031 amble
0x032 amongst
0x033 an
0x034 ancient
0x035 and
0x036 angrily
0x037 animated
0x038 annoyed
0x039 another
0x03a answer
0x03b ant
0x03c antennae
0x03d anti
0x03e antique
0x03f ants
0x040 any
0x041 anything
0x042 apologise
0x043 apparent
0x044 appears
0x045 apprentice
0x046 approach
0x047 approaching

Bank 0x003 / 0x2cae

0x048 arch
0x049 arched
0x04a archmage
0x04b archway
0x04c are
0x04d are
duplicate entry in dictionary: are 0x4c
0x04e area
0x04f arm
0x050 armour
0x051 army
0x052 around
0x053 arouse
0x054 as
0x055 ascend
0x056 ashes
0x057 ask
0x058 asleep
0x059 assault
0x05a assembled
0x05b assorted
0x05c astral
0x05d asylum
0x05e AT
0x05f at
0x060 attach
0x061 attack
0x062 attacks
0x063 attic
0x064 avail
0x065 avoids
0x066 await
0x067 awake
0x068 away
0x069 awe
0x06a axe

Bank 0x004 / 0x2d0c

0x06b back
0x06c backwards
0x06d bad
0x06e bag
0x06f balance
0x070 ball
0x071 bandaged
0x072 bandages
0x073 bares
0x074 bat
0x075 battered
0x076 bay
0x077 be
0x078 beasts
0x079 beat
0x07a beaten
0x07b beautiful
0x07c beautifully
0x07d become
0x07e becomes
0x07f been
0x080 Before
0x081 before
0x082 behind
0x083 being
0x084 belfry
0x085 bell
0x086 below
0x087 bends
0x088 beneath
0x089 beside
0x08a better
0x08b between
0x08c bEWARE
0x08d beyond

Bank 0x005 / 0x2d0c  [repeat]

Bank 0x006 / 0x2d7a

0x08e big
0x08f bird
0x090 bit
0x091 bite
0x092 black
0x093 blade
0x094 blood
0x095 blood-curdling
0x096 blood-stained
0x097 blood-sucking
0x098 bloodworm
0x099 bloody
0x09a blow
0x09b blown
0x09c blue
0x09d board
0x09e boardwalk
0x09f boat
0x0a0 body
0x0a1 bolt
0x0a2 BOM
0x0a3 bone
0x0a4 bones
0x0a5 bony
0x0a6 books
0x0a7 booms
0x0a8 bored
0x0a9 boss
0x0aa bother
