Banks:

Bank 0x000 / 0x581e

0x000 0
0x001 012
0x002 10
0x003 15
0x004 1939
0x005 1988
0x006 2
0x007 3
0x008 374
0x009 39
0x00a 5
0x00b 55
0x00c 6
0x00d 658
0x00e 7
0x00f 70
0x010 76
0x011 9
0x012 9UR

Bank 0x001 / 0x585e

0x013 A
0x014 a
0x015 aaaaaagh
0x016 abandonment
0x017 about
0x018 above
0x019 abruptly
0x01a absolute
0x01b absolutely
0x01c absorbs
0x01d accept
0x01e accumulated
0x01f acquire
0x020 acquires
0x021 across
0x022 adams
0x023 additional
0x024 addressing
0x025 adventure
0x026 adventurer
0x027 advice
0x028 affected
0x029 affirmative
0x02a afforded
0x02b after
0x02c afternoon
0x02d again
0x02e against
0x02f age
0x030 aged
0x031 ages
0x032 agree

Bank 0x002 / 0x58d4

0x033 aimlessly
0x034 air
0x035 alcove
0x036 alcoves
0x037 alert
0x038 alive
0x039 all
0x03a all-powerful
0x03b allowed
0x03c allowing
0x03d allows
0x03e alloy
0x03f almost
0x040 alone
0x041 along
0x042 already
0x043 also
0x044 altar
0x045 alternate
0x046 am
0x047 ambition
0x048 amble
0x049 amid
0x04a amidst
0x04b among
0x04c amplifying
0x04d amytal
0x04e an
0x04f Ancient
0x050 ancient
0x051 and
0x052 and
duplicate entry in dictionary: and 0x51
0x053 angels
0x054 angle
0x055 angles
0x056 angrily
0x057 anguish
0x058 animated
0x059 ankle-high
0x05a annoyed
0x05b another
0x05c answer
0x05d ant
0x05e ante-alcove
0x05f ante-chapel
0x060 antennae
0x061 anti-clockwise
0x062 anticipation
0x063 antique
0x064 ants
0x065 anvil
0x066 any
0x067 anybody
0x068 anyone
0x069 anything
0x06a apex
0x06b apologise
0x06c apparatus
0x06d apparent
0x06e appearance
0x06f appears
0x070 apples
0x071 apprentice
0x072 approach
0x073 approximation

Bank 0x003 / 0x59bc

0x074 aquiline
0x075 arcane
0x076 arch-roofed
0x077 arched
0x078 archmage
0x079 archway
0x07a are
0x07b area
0x07c arghhh
0x07d arm
0x07e armchairs
0x07f armour
0x080 arms
0x081 army
0x082 around
0x083 arouse
0x084 arsehole
0x085 art
0x086 artefacts
0x087 articles
0x088 Artificial
0x089 as
0x08a ascend
0x08b ascends
