Banks:

Bank 0x000 / 0x5ca7

0x000 1989
0x001 300
0x002 40
0x003 5
0x004 9

Bank 0x001 / 0x5cc0

0x005 A
0x006 a
0x007 a-quiver
0x008 abbey
0x009 able
0x00a abort
0x00b about
0x00c above
0x00d absently
0x00e absorbed
0x00f accident
0x010 accountant
0x011 acknowledgement
0x012 acorn
0x013 across
0x014 act
0x015 added
0x016 admired
0x017 adventure
0x018 advertised
0x019 afraid
0x01a after
0x01b afterlife
0x01c afternoon
0x01d again
0x01e against
0x01f age
0x020 ago
0x021 agreed
0x022 Ah
0x023 ahead

Bank 0x002 / 0x5d2b

0x024 aimed
0x025 aimlessly
0x026 air
0x027 Alan
0x028 Alan's
0x029 alcohol
0x02a Alex
0x02b alex
0x02c algae
0x02d aligned
0x02e alive
0x02f all
0x030 allows
0x031 almost
0x032 alone
0x033 along
0x034 alongside
0x035 already
0x036 also
0x037 Always
0x038 always
0x039 am
0x03a amazingly
0x03b amble
0x03c America
0x03d among
0x03e amongst
0x03f an
0x040 ancient
0x041 And
0x042 and
0x043 anger
0x044 angered
0x045 angrier
0x046 announced
0x047 annoyingly
0x048 anonymous
0x049 another
0x04a answer
0x04b antics
0x04c anxious
0x04d any
0x04e anyone
0x04f anything
0x050 anyway
0x051 apparently
0x052 apparition
0x053 appreciated
0x054 approached

Bank 0x003 / 0x5dd7

0x055 arc
0x056 are
0x057 aren't
0x058 arm
0x059 arms
0x05a around
0x05b arrested
0x05c arrival
0x05d arrived
0x05e arrogantly
0x05f arsehole
0x060 arson
0x061 as
0x062 aside
0x063 ask
0x064 askance
0x065 asked
0x066 asleep
0x067 asshole
0x068 At
0x069 at
0x06a attach
0x06b attack
0x06c attendance
0x06d attention
0x06e attentively
0x06f Autumn
0x070 avalanche
0x071 ave
0x072 away
0x073 awful
0x074 aww

Bank 0x004 / 0x5e39

0x075 Aye

Bank 0x005 / 0x5e3e

0x076 back
0x077 backed
0x078 backsides
0x079 bad
0x07a badly
0x07b bag
0x07c bags
0x07d bakelite
0x07e bare
0x07f bark
0x080 barked
0x081 barking
0x082 barrel
0x083 bartender
0x084 base
0x085 bastard
0x086 bastards
0x087 battery
0x088 be
0x089 beaming
0x08a bearing
0x08b beat
0x08c beautiful
0x08d became
0x08e because
0x08f beckoned
0x090 become
0x091 becoming
0x092 beech
0x093 been
0x094 before
0x095 began
0x096 begin
0x097 beginner
0x098 beginning
0x099 behind
0x09a being
0x09b bell
0x09c bellow
0x09d bellowed
0x09e belly
0x09f below
0x0a0 bench
0x0a1 bend
0x0a2 beneath
0x0a3 Bert
0x0a4 Bert's
0x0a5 beside
0x0a6 best
0x0a7 bet
0x0a8 better
0x0a9 between
0x0aa beyond

Bank 0x006 / 0x5ed1

0x0ab big
0x0ac bigger
0x0ad biscuits
0x0ae bit
0x0af bitterly
0x0b0 black
0x0b1 blackened
0x0b2 blade
0x0b3 blank
0x0b4 blankly
0x0b5 blast
0x0b6 bleeder
0x0b7 bleedin
0x0b8 blew
0x0b9 blighters
0x0ba blind
0x0bb blinked
0x0bc blocked
0x0bd bloody
0x0be blow
0x0bf blowed
0x0c0 blowing
0x0c1 blown
0x0c2 blows
0x0c3 boasted
0x0c4 body
0x0c5 bollocks
0x0c6 bolted
0x0c7 bolts
0x0c8 bone
0x0c9 bonk
0x0ca book
0x0cb boots
0x0cc booze
0x0cd bore
0x0ce bored
0x0cf boring
0x0d0 boss
0x0d1 both
0x0d2 bother
0x0d3 bothered
0x0d4 bottle
0x0d5 bottle-glass
0x0d6 bottles
0x0d7 bottom
0x0d8 boundary
0x0d9 box

Bank 0x007 / 0x5f51

0x0da branch
0x0db branches
0x0dc brass
0x0dd breaking
0x0de breaks
0x0df breeze
0x0e0 brief
0x0e1 briefly
0x0e2 bright
0x0e3 brightly
0x0e4 bring
0x0e5 bringing
0x0e6 bristling
0x0e7 broad
0x0e8 broadly
0x0e9 broke
0x0ea broken
0x0eb brought
0x0ec brown
0x0ed browning
0x0ee brush
0x0ef brushed
0x0f0 bucket
0x0f1 budge
0x0f2 bugger
0x0f3 buggy
0x0f4 building
0x0f5 built
0x0f6 built-in
0x0f7 bulb
0x0f8 bulb's
0x0f9 bulged
0x0fa bulging
0x0fb bunch
0x0fc buried
0x0fd burned
0x0fe burnt
0x0ff bury
0x100 bush
0x101 bushes
0x102 busy
0x103 But
0x104 but
0x105 button

Bank 0x008 / 0x5fcf

0x106 by
0x107 bye

Bank 0x009 / 0x5fd3

0x108 C
0x109 cabin
0x10a caked
0x10b call
0x10c called
0x10d calls
0x10e calm
0x10f came
0x110 can
0x111 can't
0x112 captured
0x113 car
0x114 card
0x115 cardboard
0x116 cards
0x117 care
0x118 carefully
0x119 carpeted
0x11a carriage
0x11b carried
0x11c carrier
0x11d carrots
0x11e carry
0x11f carrying
0x120 cart
0x121 carve
0x122 carvings
0x123 cascade
0x124 case
0x125 cash
0x126 cast
0x127 casting
0x128 casually
0x129 cat
0x12a catch
0x12b catching
0x12c caught
0x12d cavorting
0x12e celebrate
0x12f cemetery
0x130 cenotaph
0x131 certainly
0x132 challenging
0x133 Chance
0x134 chance
0x135 change
0x136 changed
0x137 chap
0x138 charred
0x139 chase
0x13a chasing
0x13b chattered
0x13c checkerboard
0x13d cheered
0x13e cheerful
0x13f chewed
0x140 chin
0x141 chippings
0x142 choke
0x143 choking
0x144 chop
0x145 christ
0x146 chuckled
0x147 church
0x148 churchyard

Bank 0x00a / 0x609c

0x149 cigarette
0x14a cigarettes
0x14b circles
0x14c circular
0x14d claims
0x14e clamped
0x14f clasped
0x150 clean
0x151 clear
0x152 cleared
0x153 clearing
0x154 clearly
0x155 clever
0x156 clicked
0x157 climb
0x158 climbed
0x159 climbing
0x15a clinking
0x15b close
0x15c closed
0x15d closer
0x15e closing
0x15f clouds
0x160 clutched
0x161 coarse
0x162 coats
0x163 cobwebs
0x164 cocaine
0x165 cocked
0x166 cockerel
0x167 coffin
0x168 collapse
0x169 collapsed
0x16a colleagues
0x16b collect
0x16c collecting
0x16d collection
0x16e Colonel
0x16f Colonel's
0x170 Come
0x171 come
0x172 comes
0x173 coming
0x174 command
0x175 commented
0x176 companions
0x177 Company
0x178 company
0x179 compared
0x17a competent
0x17b complain
0x17c complained
0x17d compost
0x17e Computing
0x17f conceal
0x180 concentrate
0x181 concentrated
0x182 concluded
0x183 condescendingly
0x184 cone
0x185 confident
0x186 confuse
0x187 confused
0x188 congratulated
0x189 conjuring
0x18a conservatives
0x18b consider
0x18c construction
0x18d CONTAINER
0x18e container
0x18f contents
0x190 continue
0x191 continued
0x192 control
0x193 convenient
0x194 conversation
0x195 Conway
0x196 Conway's
0x197 coon
0x198 copped
0x199 copper
0x19a cops
0x19b copy
0x19c copyright
0x19d corner
0x19e corners
0x19f corny
0x1a0 cortege
0x1a1 cough
0x1a2 coughed
0x1a3 coughing
0x1a4 could
0x1a5 couldn't
0x1a6 country
0x1a7 couple
0x1a8 coupon
0x1a9 course
0x1aa cove
0x1ab cover
0x1ac covered

Bank 0x00b / 0x6226

0x1ad crack
0x1ae cracked
0x1af cracks
0x1b0 crap
0x1b1 crashed
0x1b2 crashing
0x1b3 cretin
0x1b4 cried
0x1b5 criminal
0x1b6 cringed
0x1b7 crisp
0x1b8 croaked
0x1b9 crook
0x1ba crooks
0x1bb cross
0x1bc crosses
0x1bd crow
0x1be crowd
0x1bf crude
0x1c0 crumble
0x1c1 crumbling
0x1c2 cunt
0x1c3 curiously
0x1c4 curse
0x1c5 Cursed
0x1c6 cursed
0x1c7 curved
0x1c8 customers
0x1c9 cut

Bank 0x00c / 0x627d

0x1ca cylinder

Bank 0x00d / 0x6284

0x1cb d
0x1cc daft
0x1cd Daily
0x1ce daisies
0x1cf damaged
0x1d0 damn
0x1d1 damp
0x1d2 Danby
0x1d3 Danby's
0x1d4 dance
0x1d5 danced
0x1d6 dancing
0x1d7 dangerously
0x1d8 dark
0x1d9 darker
0x1da darkness
0x1db darted
0x1dc dash
0x1dd data
0x1de dated
0x1df David
0x1e0 David's
0x1e1 dawn
0x1e2 day
0x1e3 days
0x1e4 dead
0x1e5 Dean
