Banks:

Bank 0x000 / 0x5348

0x000 0
0x001 05
0x002 1
0x003 10
0x004 10th
0x005 11
0x006 11th
0x007 12th
0x008 13
0x009 13th
0x00a 14
0x00b 14th
0x00c 15
0x00d 150
0x00e 15th
0x00f 16
0x010 16th
0x011 17th
0x012 18
0x013 18th
0x014 19
0x015 19th
0x016 1st
0x017 2
0x018 20
0x019 20th
0x01a 21
0x01b 21st
0x01c 22nd
0x01d 23
0x01e 23rd
0x01f 24
0x020 24th
0x021 25
0x022 25p
0x023 25th
0x024 26th
0x025 27
0x026 27th
0x027 28th
0x028 29th
0x029 2nd
0x02a 3
0x02b 30
0x02c 30th
0x02d 31
0x02e 31st
0x02f 35
0x030 35p
0x031 37
0x032 3a
0x033 3rd
0x034 4
0x035 40
0x036 41
0x037 45
0x038 47
0x039 4th
0x03a 5
0x03b 50
0x03c 51
0x03d 52
0x03e 57
0x03f 5p
0x040 5th
0x041 6
0x042 64
0x043 65
0x044 69
0x045 6th
0x046 7
0x047 76
0x048 79A
0x049 7th
0x04a 8
0x04b 89
0x04c 8th
0x04d 9
0x04e 9th

Bank 0x001 / 0x5403

0x04f A
0x050 a
0x051 abandoned
0x052 able
0x053 about
0x054 above
0x055 accept
0x056 account
0x057 Act
0x058 action
0x059 activities
0x05a add
0x05b address
0x05c admit
0x05d Adrian
0x05e Adrian's
0x05f adults
0x060 advance
0x061 advertising
0x062 adverts
0x063 advice
0x064 advised
0x065 afford
0x066 AFTER
0x067 after
0x068 afternoon
0x069 afterwards
0x06a again
0x06b against
0x06c age
0x06d ages
0x06e ago
0x06f agree
0x070 agreed

Bank 0x002 / 0x547a

0x071 ain't
0x072 air
0x073 Ale
0x074 Alfred
0x075 ALL
0x076 All
0x077 all
0x078 allows
0x079 Alma
0x07a Almighty
0x07b almost
0x07c along
0x07d already
0x07e Alsatian
0x07f also
0x080 alternative
0x081 altogether
0x082 always
0x083 am
0x084 amazed
0x085 American
0x086 An
0x087 an
0x088 and
0x089 AND
0x08a And
0x08b and
duplicate entry in dictionary: and 0x88
0x08c angry
0x08d Animal
0x08e animal
0x08f ANIMALS
0x090 animals
0x091 Animba
0x092 another
0x093 answer
0x094 anti-mugger
0x095 anti-smoking
0x096 antibiotics
0x097 any
0x098 anybody
0x099 aNYNAME
0x09a anyone
0x09b anything
0x09c anyway
0x09d Apart
0x09e ape
0x09f apparently
0x0a0 appear
0x0a1 Appointment
0x0a2 approach
0x0a3 approaches
0x0a4 April

Bank 0x003 / 0x555f

0x0a5 are
0x0a6 argument
0x0a7 arm
0x0a8 Armstrong
0x0a9 army
0x0aa around
0x0ab arranged
0x0ac arrived
0x0ad arson
0x0ae Art
0x0af art
0x0b0 as
0x0b1 ASCENSION
0x0b2 ash
0x0b3 ask
0x0b4 asked
0x0b5 asking
0x0b6 asks
0x0b7 assembly
0x0b8 assertive
0x0b9 assumed
0x0ba astonishment
0x0bb asylum
0x0bc at
0x0bd ate
0x0be athletic
0x0bf athletic-looking
0x0c0 attack
0x0c1 attention
0x0c2 attract
0x0c3 Auntie
0x0c4 auntie
0x0c5 Australia
0x0c6 Authority
0x0c7 automatic
0x0c8 Avenue
0x0c9 average
0x0ca avoid
0x0cb away
0x0cc awesome
0x0cd awful

Bank 0x004 / 0x5606

0x0ce baby
0x0cf back
0x0d0 background
0x0d1 bad
0x0d2 badge
0x0d3 bag
0x0d4 bald
0x0d5 Baldrey
0x0d6 ballbearings
0x0d7 balls
0x0d8 bamboo
0x0d9 ban
0x0da banging
0x0db BANK
0x0dc bank
0x0dd bar
0x0de Barbara
0x0df barking
0x0e0 barks
0x0e1 barmy
0x0e2 barrier
0x0e3 Barry
0x0e4 barry
0x0e5 basic
0x0e6 bath
0x0e7 Baxter
0x0e8 Baxter's
0x0e9 Baz
0x0ea be
0x0eb beads
0x0ec bear
0x0ed beautiful
0x0ee because
0x0ef bed
0x0f0 bedroom
0x0f1 Beeby
0x0f2 been
0x0f3 beetroot
0x0f4 before
0x0f5 beginning
0x0f6 behind
0x0f7 being
0x0f8 bells
0x0f9 belt
0x0fa Benson
0x0fb Bert
0x0fc bert
0x0fd beside
0x0fe Best
0x0ff best
0x100 better

Bank 0x005 / 0x5606  [repeat]

Bank 0x006 / 0x56af

0x101 Big
0x102 big
0x103 bike
0x104 bills
0x105 Bimbo
0x106 bin
0x107 Bingo
0x108 biological
0x109 biology
0x10a bird's
0x10b birmingham
0x10c biscuits
0x10d bit
0x10e bite
0x10f bits
0x110 Black
0x111 black
0x112 blackmail
0x113 blame
0x114 blames
0x115 blank
0x116 blazer
0x117 blind
0x118 bloke
0x119 bloody
0x11a Blossom
0x11b blue
0x11c blur
0x11d BMX
0x11e board
0x11f body
0x120 body-building
0x121 Bomb
0x122 bones
0x123 book
0x124 books
0x125 boring
0x126 born
0x127 borrow
0x128 borrowed
0x129 borrower
0x12a both
0x12b Bott
0x12c bottle
0x12d bottle-green
0x12e bottles
0x12f bottom
0x130 bought
0x131 Bouncy
0x132 bound
0x133 bow
0x134 box
0x135 boy
0x136 Boyer
0x137 boyfriend
0x138 boys

Bank 0x007 / 0x576d

0x139 BR
0x13a bracken
0x13b brain
0x13c Brainbox
0x13d Braithwaite
0x13e brakes
0x13f brave
0x140 breaking
0x141 breath
0x142 breathe
0x143 breathed
0x144 breathing
0x145 bribe
0x146 brick
0x147 briefcase
0x148 brightened
0x149 brilliant
0x14a bristle
0x14b Broadway
0x14c brochures
0x14d broken
0x14e brother
0x14f brought
0x150 Brown
0x151 brown
0x152 brush
0x153 buddy
0x154 buffet
0x155 building
0x156 bulb
0x157 Bull
0x158 Bully
0x159 bully
0x15a burn
0x15b bus
0x15c business
0x15d Businessman's
0x15e busy
0x15f but
0x160 buy

Bank 0x008 / 0x5803

0x161 by
0x162 Byte

Bank 0x009 / 0x580a

0x163 c
0x164 Caitlin
0x165 cake
0x166 call
0x167 call-box
0x168 called
0x169 calling
0x16a calls
0x16b came
0x16c Came
0x16d came
duplicate entry in dictionary: came 0x16b
0x16e can
0x16f can't
0x170 CANADA
0x171 canal
0x172 cancelled
0x173 cans
0x174 car
0x175 card
0x176 cards
0x177 care
0x178 career
0x179 careers
0x17a carpet
0x17b cars
0x17c Carter
0x17d case
0x17e cashier
0x17f cassette
0x180 catch
0x181 catches
0x182 catching
0x183 Caught
0x184 cause
0x185 ceiling
0x186 censorship
0x187 centimetre
0x188 centre
0x189 century
0x18a certain
0x18b certainly
0x18c chain-smokes
0x18d chairman
0x18e chance
0x18f change
0x190 changed
0x191 Channel
0x192 channels
0x193 Chapel
0x194 charges
0x195 charming
0x196 cheap
0x197 cheaper
0x198 cheat
0x199 cheating
0x19a Check
0x19b check
0x19c Checked
0x19d cheerily
0x19e chemist's
0x19f cheque
0x1a0 Cherry
0x1a1 Cherry's
0x1a2 chest
0x1a3 chew
0x1a4 chews
0x1a5 chicken
0x1a6 Children's
0x1a7 China
0x1a8 Chinese
0x1a9 chocolates
0x1aa choice
0x1ab choke
0x1ac choked
0x1ad choking
0x1ae Choose
0x1af choose
0x1b0 choosing
0x1b1 chose
0x1b2 Christ

Bank 0x00a / 0x5938

0x1b3 CIGARETTE
0x1b4 cigarette
0x1b5 cigars
0x1b6 circle
0x1b7 Claire
0x1b8 Claricoates
0x1b9 class
0x1ba cleaned
0x1bb cleaners
0x1bc cleaning
0x1bd clicking
0x1be climb
0x1bf Clint
0x1c0 clint
0x1c1 Clive
0x1c2 cloakroom
0x1c3 close
0x1c4 closed
0x1c5 closing
0x1c6 clothes
0x1c7 clouds
0x1c8 Club
0x1c9 club
0x1ca clump
0x1cb clutter
0x1cc CND
0x1cd coal
0x1ce coat
0x1cf coathook
0x1d0 coats
0x1d1 coffee
0x1d2 Cogan
0x1d3 Coldwar
0x1d4 collar
0x1d5 collars
0x1d6 collected
0x1d7 collecting
0x1d8 collection
0x1d9 collector
0x1da colour
0x1db colours
0x1dc come
0x1dd comedian
0x1de comes
0x1df comics
0x1e0 coming
0x1e1 comma
0x1e2 command
0x1e3 commands
0x1e4 Commodore
0x1e5 communist
0x1e6 community
0x1e7 company
0x1e8 compelled
0x1e9 complain
0x1ea complained
0x1eb complaining
0x1ec complete
0x1ed completed
0x1ee completely
0x1ef complimented
0x1f0 Comprehensive
0x1f1 computer
0x1f2 computerised
0x1f3 concern
0x1f4 concrete
0x1f5 confidence
0x1f6 confidential
0x1f7 confusing
0x1f8 connecting
0x1f9 Conscience
0x1fa Conservative
0x1fb consist
0x1fc consorting
0x1fd conspicuous
0x1fe constantly
0x1ff consumers
0x200 continue
0x201 conversation
0x202 convicted
0x203 convinced
0x204 cooked
0x205 copper's
0x206 cords
0x207 cork
0x208 corner
0x209 Corporation
0x20a corridor
0x20b cost
0x20c costing
0x20d costs
0x20e cottage
0x20f coughing
0x210 could
0x211 couldn't
0x212 council
0x213 country
0x214 countryside
0x215 Courtney
0x216 cover
0x217 coward

Bank 0x00b / 0x5aea

0x218 cracked
0x219 crags
0x21a Craig
0x21b crazes
0x21c cream
0x21d creep
0x21e crimes
0x21f criminal
0x220 croak
0x221 cross
0x222 crowd
0x223 crying
0x224 cubes
0x225 cul-de-sac
0x226 culprits
0x227 cultural
0x228 current
0x229 cursed
0x22a curtain
0x22b cushion
0x22c customer
0x22d cut
0x22e cuts

Bank 0x00c / 0x5b36

0x22f Cyril

Bank 0x00d / 0x5b3c

0x230 D
0x231 Dad
0x232 dad
0x233 daffodils
0x234 Daily
0x235 damaged
0x236 Dammit
0x237 dancing
0x238 dangerous
0x239 daren't
0x23a daring
0x23b dark
0x23c date
0x23d daughter
0x23e daughters
0x23f DAY
0x240 day
0x241 Day's
0x242 days
0x243 Dead
0x244 dead
0x245 Dean
0x246 Dear
0x247 Death
0x248 decent
0x249 decide
0x24a decided
0x24b decisions
0x24c declare
0x24d decorate
0x24e decrepit
0x24f deduct
0x250 deface
0x251 defaced
0x252 defacing
0x253 deliver
0x254 Delivered
0x255 delivered
0x256 Dell
0x257 demanded
0x258 demanding
0x259 demands
0x25a DEMO
0x25b demo
0x25c demonstrate
0x25d demonstration
0x25e denied
0x25f denies
0x260 dented
0x261 departing
0x262 deputation
0x263 desk
0x264 desperate
0x265 destroyed
0x266 detail
0x267 detect
0x268 detention
0x269 determined
0x26a develop
0x26b devil

Bank 0x00e / 0x5c29

0x26c diabetes
0x26d diabetic
0x26e Diary
0x26f Did
0x270 did
0x271 didn't
0x272 difference
0x273 different
0x274 difficult
0x275 dinner
0x276 direct
0x277 directory
0x278 dirty
0x279 disco
0x27a disgusting
0x27b disgustingly
0x27c disk
0x27d dismissed
0x27e disobeyed
0x27f disordered
0x280 display
0x281 displayed
0x282 distinctly
0x283 District
0x284 divert
0x285 diving
0x286 divorced
0x287 DIY
0x288 do
0x289 Dock
0x28a Doctor
0x28b does
0x28c doesn't
0x28d DOG
0x28e dog
0x28f dog's
0x290 dognappers
0x291 dogs
0x292 doing
0x293 Domestic
0x294 domestic
0x295 Don't
0x296 don't
0x297 done
0x298 door
0x299 doorstep
0x29a Doreen
0x29b double
0x29c down
0x29d downstairs

Bank 0x00f / 0x5cf0

0x29e Dr
0x29f dragged
0x2a0 drain
0x2a1 drama
0x2a2 drastic
0x2a3 drawing
0x2a4 dream
0x2a5 dreg
0x2a6 dressed
0x2a7 dressing
0x2a8 dried
0x2a9 drifted
0x2aa drill
0x2ab drive
0x2ac driven
0x2ad drives
0x2ae driving
0x2af drop
0x2b0 dropping
0x2b1 drops
0x2b2 dropwort
0x2b3 dud
0x2b4 due
0x2b5 duffed
0x2b6 duffs
0x2b7 Dumbo
0x2b8 dustbins
0x2b9 duties
0x2ba duty

Bank 0x010 / 0x5d42

0x2bb dying

Bank 0x011 / 0x5d47

0x2bc e
0x2bd each
0x2be Eagle
0x2bf early
0x2c0 earphones
0x2c1 earring
0x2c2 Ears
0x2c3 easier
0x2c4 easily
0x2c5 East
0x2c6 EASTER
0x2c7 easy
0x2c8 eat
0x2c9 eating
0x2ca eco-freak
0x2cb Eden
0x2cc Edge
0x2cd editorial
0x2ce Education
0x2cf effect
0x2d0 eggs

Bank 0x012 / 0x5d9e

0x2d1 eight
0x2d2 eighty
0x2d3 elder
0x2d4 electing
0x2d5 electric
0x2d6 electricity
0x2d7 elephant
0x2d8 eleven
0x2d9 Elf
0x2da Eliot
0x2db Elizabeth
0x2dc Elliot
0x2dd Elm
0x2de elm
0x2df else
0x2e0 embarrassing
0x2e1 embroidered
0x2e2 embroidery
0x2e3 emotion
0x2e4 empty
0x2e5 end
0x2e6 end-of-line
0x2e7 endure
0x2e8 english
0x2e9 enjoy
0x2ea enough
0x2eb ENTER
0x2ec entering
0x2ed entire
0x2ee entrance
0x2ef envelope

Bank 0x013 / 0x5e18

0x2f0 Erik
0x2f1 escape
0x2f2 estate
0x2f3 esteem
0x2f4 etc
0x2f5 even
0x2f6 evening
0x2f7 eventually
0x2f8 Evergreens
0x2f9 every
0x2fa everybody
0x2fb everyday
0x2fc everyone
0x2fd everything
0x2fe everything
duplicate entry in dictionary: everything 0x2fd
0x2ff evidence
0x300 evils
0x301 exactly
0x302 example
0x303 exams
0x304 excellent
0x305 EXCEPT
0x306 except
0x307 excusing
0x308 executive
0x309 exercises
0x30a Exhausted
0x30b exhibition
0x30c expect
0x30d expected
0x30e expecting
0x30f expensive
0x310 experiment
0x311 EXPERIMENTING
0x312 EXPERIMENTS
0x313 expert
0x314 explain
0x315 explains
0x316 Express
0x317 express
0x318 extra
0x319 extreme
0x31a extremely

Bank 0x014 / 0x5ef9

0x31b eyes

Bank 0x015 / 0x5efd

0x31c f
0x31d face
0x31e Faction
0x31f factories
0x320 facts
0x321 fag
0x322 fags
0x323 fair
0x324 fakes
0x325 fall
0x326 falling
0x327 false
0x328 falsely
0x329 famous
0x32a fare
0x32b farmer
0x32c fascinates
0x32d fascinating
0x32e fashion
0x32f father
0x330 fATHER'S
0x331 father's
0x332 fault
0x333 faulty
0x334 feared
0x335 fed
0x336 feeble
0x337 feed
0x338 feel
0x339 fell
0x33a fellow
0x33b felt
0x33c felt-tip
0x33d fences
0x33e ferocious
0x33f fetch
0x340 few

Bank 0x016 / 0x5f74

0x341 field
0x342 fifteen
0x343 fifty
0x344 figure
0x345 file
0x346 filler
0x347 Fillingham
0x348 film
0x349 filthy
0x34a final
0x34b finally
0x34c finances
0x34d find
0x34e finding
0x34f fine
0x350 fingers
0x351 finished
0x352 finishes
0x353 fire
0x354 fire-doors
0x355 FIRST
0x356 first
0x357 fit
0x358 fits
0x359 five
0x35a five-pence
0x35b flared
0x35c FLARES
0x35d flares
0x35e flash
0x35f flat
0x360 flinch
0x361 flogging
0x362 floor
0x363 florist's
0x364 Floss
0x365 flowers
0x366 fluffed
0x367 followed
0x368 following
0x369 fond
0x36a food
0x36b fool
0x36c FOOL'S
0x36d football
0x36e for
0x36f forbidden
0x370 force
0x371 forced
0x372 Forest
0x373 Forever
0x374 forget
0x375 forgot
0x376 forgotten
0x377 fork
0x378 formal
0x379 formatted
0x37a formed
0x37b fortunately
0x37c forty
0x37d Fossington-Gore
0x37e Found
0x37f found
0x380 four
0x381 four-pack
0x382 fourteen
0x383 fourteen-year-olds

Bank 0x017 / 0x607d

0x384 Frederick
0x385 free
0x386 FRIDAY
0x387 Friday
0x388 friend
0x389 friendly
0x38a frightened
0x38b from
0x38c front
0x38d fuel
0x38e FULL
0x38f full
0x390 fun
0x391 funnibones
0x392 funny
0x393 furniture
0x394 further
0x395 fuss
0x396 future

Bank 0x018 / 0x60cc

0x397 g
0x398 gadgets
0x399 gain
0x39a game
0x39b Games
0x39c games
0x39d gang
0x39e Gap
0x39f gap
0x3a0 Garden
0x3a1 gave
0x3a2 genuine
0x3a3 Geography
0x3a4 geography
0x3a5 George
0x3a6 GEORGE'S
0x3a7 get
0x3a8 gets
0x3a9 getting
0x3aa ghetto

Bank 0x019 / 0x60cc  [repeat]

Bank 0x01a / 0x6122

0x3ab giant
0x3ac gift
0x3ad ginger
0x3ae girlfriend
0x3af girls
0x3b0 git
0x3b1 give
0x3b2 given
0x3b3 gives
0x3b4 glad
0x3b5 glass
0x3b6 glint
0x3b7 gloomy
0x3b8 Gloria
0x3b9 glue
0x3ba gnaws
0x3bb Go
0x3bc go
0x3bd God
0x3be god-fearing
0x3bf goes
0x3c0 going
0x3c1 Gold
0x3c2 gold
0x3c3 Golightly
0x3c4 gone
0x3c5 GOOD
0x3c6 Good
0x3c7 good
0x3c8 goods
0x3c9 goolies
0x3ca Gordon
0x3cb Gore
0x3cc Got
0x3cd got
0x3ce Goughly
0x3cf government

Bank 0x01b / 0x61a3

0x3d0 grab
0x3d1 grabs
0x3d2 Grace
0x3d3 grace
0x3d4 graffiti
0x3d5 Grandad
0x3d6 Grandma
0x3d7 grandma
0x3d8 grandma's
0x3d9 grandmother
0x3da grapes
0x3db graphics
0x3dc gratitude
0x3dd Gray
0x3de great
0x3df green
0x3e0 greengrocer
0x3e1 greengrocers
0x3e2 grey
0x3e3 Groby
0x3e4 gross
0x3e5 grotty
0x3e6 group
0x3e7 grow
0x3e8 grown
0x3e9 grudge
0x3ea guard
0x3eb Guardian
0x3ec guilty

Bank 0x01c / 0x6213

0x3ed Ha
0x3ee ha
0x3ef habit
0x3f0 Habitat
0x3f1 HAD
0x3f2 Had
0x3f3 had
0x3f4 hair
0x3f5 hairs
0x3f6 hairy
0x3f7 half-inch
0x3f8 hall
0x3f9 Hamish
0x3fa HAND
0x3fb hand
0x3fc HANDKNITTED
0x3fd handknitted
0x3fe handle
0x3ff hands
0x400 handsome
0x401 handwriting
0x402 hang
0x403 hangs
0x404 happen
0x405 happened
0x406 happy
0x407 hard
0x408 harder
0x409 has
0x40a hasn't
0x40b hat
0x40c have
0x40d haven't
0x40e having
0x40f hazy
0x410 he
0x411 HE
0x412 He
0x413 he
duplicate entry in dictionary: he 0x410
0x414 he's
0x415 head
0x416 headache
0x417 Headmaster
0x418 headmaster
0x419 health
0x41a hear
0x41b heard
0x41c heaters
0x41d heather
0x41e heavy
0x41f hedge
0x420 Hedges
0x421 HELP
0x422 help
0x423 Helped
0x424 helps
0x425 Henderson
0x426 Her
0x427 her
0x428 here
0x429 Herod
0x42a herself

Bank 0x01d / 0x6213  [repeat]

Bank 0x01e / 0x62f4

0x42b hidden
0x42c hide
0x42d hides
0x42e high
0x42f hilarious
0x430 Hill
0x431 hills
0x432 him
0x433 himself
0x434 hint
0x435 hippy
0x436 HIS
0x437 his
0x438 history
0x439 hit
0x43a hitch-hike
0x43b hitch-hiking
0x43c holder
0x43d holders
0x43e HOLIDAY
0x43f holiday
0x440 Holloway
0x441 Home
0x442 home
0x443 honest
0x444 honestly
0x445 Hope
0x446 hope
0x447 hopes
0x448 horrible
0x449 horse
0x44a hour
0x44b hours
0x44c house
0x44d housework
0x44e how

Bank 0x01f / 0x6376

0x44f huge
0x450 Hulk
0x451 humour
0x452 hundred
0x453 hundreds
0x454 hungry
0x455 hurt

Bank 0x020 / 0x638f

0x456 hypocrite

Bank 0x021 / 0x6396

0x457 I
0x458 i
0x459 I'll
0x45a i'm
0x45b I've
0x45c i've
0x45d icing
0x45e Ida
0x45f idea
0x460 idiot
0x461 idiots
0x462 If
0x463 if
0x464 ignorance
0x465 ignorant
0x466 ignores

Bank 0x022 / 0x63cf

0x467 ill
0x468 ill-treated
0x469 imagine
0x46a IMMEDIATELY
0x46b immediately
0x46c important
0x46d impressed
0x46e imprisoned
0x46f improvement
0x470 IN
0x471 in
0x472 inability
0x473 inch
0x474 incompetence
0x475 Incredible
0x476 indecent
0x477 industry
0x478 info
0x479 information
0x47a injunction
0x47b Insect
0x47c insensitive
0x47d Inside
0x47e inside
0x47f insolence
0x480 inspiration
0x481 inspirational
0x482 instantly
0x483 instead
0x484 insulate
0x485 insurance
0x486 Intellectual
0x487 intellectual
0x488 intellectuals
0x489 intelligent
0x48a interest
0x48b interested
0x48c into
0x48d investigate
0x48e invite
0x48f Invited

Bank 0x023 / 0x64af

0x490 IRELAND
0x491 is
0x492 isn't
0x493 It
0x494 it
0x495 it'll
0x496 it's
0x497 its
0x498 Ivan

Bank 0x024 / 0x64d3

0x499 jacket
0x49a jeans
0x49b Jesus
0x49c jet-propelled

Bank 0x025 / 0x64d3  [repeat]

Bank 0x026 / 0x64eb

0x49d Johnson
0x49e join
0x49f joke
0x4a0 Jones
0x4a1 joshing
0x4a2 journey

Bank 0x027 / 0x6505

0x4a3 judge
0x4a4 jump
0x4a5 jumped
0x4a6 jumpers
0x4a7 jumping
0x4a8 Junction
0x4a9 June
0x4aa jungle
0x4ab Just
0x4ac just

Bank 0x028 / 0x6528

0x4ad keep
0x4ae keeps
0x4af Kent
0x4b0 Kent's
0x4b1 key
0x4b2 khaki

Bank 0x029 / 0x6528  [repeat]

Bank 0x02a / 0x653c

0x4b3 kidnapped
0x4b4 kids
0x4b5 kill
0x4b6 kind
0x4b7 kinds
0x4b8 kiss
0x4b9 kissing
0x4ba Kitchen
0x4bb kitchen
0x4bc knee
0x4bd knew
0x4be knife
0x4bf knocked
0x4c0 knockout
0x4c1 know
0x4c2 knowingly
0x4c3 knowledge
0x4c4 knows
0x4c5 knuckles

Bank 0x02b / 0x6578

0x4c6 l
0x4c7 lady
