Banks:

Bank 0x000 / 0x4fed

0x000 0
0x001 000
0x002 1
0x003 10
0x004 10a
0x005 10p
0x006 10th
0x007 11
0x008 11am
0x009 11th
0x00a 120
0x00b 12p
0x00c 12th
0x00d 13
0x00e 13th
0x00f 14
0x010 14th
0x011 15th
0x012 16th
0x013 17th
0x014 18th
0x015 19
0x016 1971
0x017 19th
0x018 1am
0x019 1st
0x01a 2
0x01b 20
0x01c 20th
0x01d 21st
0x01e 22
0x01f 22nd
0x020 23rd
0x021 24th
0x022 25th
0x023 26th
0x024 27th
0x025 28th
0x026 29th
0x027 2am
0x028 2nd
0x029 3
0x02a 30
0x02b 30am
0x02c 30th
0x02d 31
0x02e 31st
0x02f 37
0x030 3am
0x031 3p
0x032 3rd
0x033 4
0x034 40
0x035 41
0x036 47
0x037 49
0x038 4am
0x039 4th
0x03a 5
0x03b 50
0x03c 50p
0x03d 57
0x03e 5am
0x03f 5th
0x040 6
0x041 64
0x042 69
0x043 6am
0x044 6p
0x045 6th
0x046 7
0x047 76
0x048 79A
0x049 7am
0x04a 7th
0x04b 8
0x04c 80
0x04d 89
0x04e 8p
0x04f 8th
0x050 9
0x051 9's
0x052 944550
0x053 99
0x054 9th

Bank 0x001 / 0x50c7

0x055 A
0x056 a
0x057 aback
0x058 abandoned
0x059 able
0x05a about
0x05b absolutely
0x05c accept
0x05d accessories
0x05e accident
0x05f accommodation
0x060 accused
0x061 across
0x062 actually
0x063 added
0x064 adder
0x065 address
0x066 adjective
0x067 admire
0x068 admit
0x069 admitted
0x06a adores
0x06b Adrian
0x06c Adrian's
0x06d ads
0x06e advantages
0x06f adventure
0x070 adversity
0x071 advert
0x072 advertised
0x073 Advertiser
0x074 adverts
0x075 Advice
0x076 advise
0x077 afraid
0x078 AFTER
0x079 after
0x07a again
0x07b against
0x07c ages
0x07d agnostic
0x07e ago
0x07f agree
0x080 Agricultural

Bank 0x002 / 0x517a

0x081 Aidy
0x082 Ale
0x083 Alfred
0x084 All
0x085 all
0x086 allayed
0x087 allowed
0x088 allows
0x089 almost
0x08a along
0x08b also
0x08c alternative
0x08d although
0x08e always
0x08f am
0x090 ambushed
0x091 American
0x092 among
0x093 amuse
0x094 amusement
0x095 an
0x096 AND
0x097 And
0x098 and
0x099 angry
0x09a Animba
0x09b annoyed
0x09c annoying
0x09d anorak
0x09e anorexic
0x09f Another
0x0a0 another
0x0a1 answer
0x0a2 answers
0x0a3 ante
0x0a4 anxiety
0x0a5 any
0x0a6 aNYNAME
0x0a7 anyone
0x0a8 anything
0x0a9 anyway
0x0aa anywhere
0x0ab apart
0x0ac apologies
0x0ad appears
0x0ae apple
0x0af appointment
0x0b0 appreciate

Bank 0x003 / 0x522b

0x0b1 arcade
0x0b2 are
0x0b3 area
0x0b4 aren't
0x0b5 argument
0x0b6 Armstrong
0x0b7 around
0x0b8 arrange
0x0b9 arrived
0x0ba Art
0x0bb art
0x0bc Arthur
0x0bd as
0x0be ask
0x0bf asked
0x0c0 asking
0x0c1 asks
0x0c2 assert
0x0c3 assertive
0x0c4 at
0x0c5 atheism
0x0c6 atheist
0x0c7 athletic
0x0c8 attacked
0x0c9 attacks
0x0ca attend
0x0cb attracting
0x0cc August
0x0cd Auntie
0x0ce Australia
0x0cf automatic
0x0d0 autumn
0x0d1 Avenue
0x0d2 average
0x0d3 average-looking
0x0d4 Avon
0x0d5 awake
0x0d6 away
0x0d7 awesome
0x0d8 axe-wielding

Bank 0x004 / 0x52c5

0x0d9 babies
0x0da baby
0x0db Back
0x0dc back
0x0dd bacon
0x0de Bad
0x0df bad
0x0e0 bag
0x0e1 bags
0x0e2 baking
0x0e3 Balaclava
0x0e4 bald
0x0e5 Baldrey
0x0e6 Ball
0x0e7 Ball's
0x0e8 BANK
0x0e9 bank
0x0ea bar
0x0eb Barbara
0x0ec barker
0x0ed barmy
0x0ee Barratt
0x0ef Barry
0x0f0 base
0x0f1 based
0x0f2 bash
0x0f3 basket
0x0f4 bath
0x0f5 bathroom
0x0f6 Battlefield
0x0f7 Baxter
0x0f8 Baxter's
0x0f9 Baz
0x0fa BBC
0x0fb be
0x0fc beach
0x0fd Beacon
0x0fe beads
0x0ff beans
0x100 beast
0x101 beat
0x102 beauties
0x103 beautiful
0x104 became
0x105 because
0x106 bed
0x107 Beeby
0x108 been
0x109 beetroot
0x10a before
0x10b began
0x10c beggar
0x10d Beginners
0x10e beginning
0x10f begins
0x110 behind
0x111 being
0x112 believe
0x113 believed
0x114 believes
0x115 bell
0x116 belly
0x117 belongings
0x118 belt
0x119 ben
0x11a beneath
0x11b Benefit
0x11c benefit
0x11d Benson
0x11e Bert
0x11f bert
0x120 Bert's
0x121 beside
0x122 besotted
0x123 best
0x124 bets
0x125 better
0x126 between
0x127 beyond

Bank 0x005 / 0x52c5  [repeat]

Bank 0x006 / 0x53d1

0x128 big
0x129 big-type
0x12a bigger
0x12b bill
0x12c bills
0x12d Bimbo
0x12e bimbo
0x12f bind-weed
0x130 biology
0x131 bird
0x132 birds
0x133 birthday
0x134 bit
0x135 bites
0x136 Black
0x137 black
0x138 blackboard
0x139 blame
0x13a blames
0x13b blank
0x13c blaring
0x13d blind
0x13e blood-sucking
0x13f Blossom
0x140 blossom
0x141 Blu-tack
0x142 body
0x143 boil
0x144 boiling
0x145 bond
0x146 bone
0x147 bonfires
0x148 book
0x149 booked
0x14a books
0x14b bootees
0x14c boots
0x14d boozing
0x14e bore
0x14f Bored
0x150 boring
0x151 Borstal
0x152 both
0x153 bother
0x154 Bott
0x155 bottle
0x156 bought
0x157 bowl
0x158 boy
0x159 Boyer

Bank 0x007 / 0x547b

0x15a Brainbox
0x15b brainbox
0x15c Braithwaite
0x15d branch
0x15e breakfast
0x15f breaking
0x160 Brean
0x161 breathe
0x162 briefly
0x163 bright
0x164 brilliant
0x165 bringing
0x166 broadcast
0x167 Broadway
0x168 broke
0x169 brother
0x16a Brothers
0x16b brought
0x16c Brown
0x16d brown
0x16e brown-skinned
0x16f bucket
0x170 bugs
0x171 built
0x172 Bull
0x173 Bully
0x174 bully
0x175 bum
0x176 bundle
0x177 Bureau
0x178 bureaucrats
0x179 burn
0x17a burning
0x17b burnt
0x17c business
0x17d bust
0x17e but
0x17f buy
0x180 buyers
0x181 buying

Bank 0x008 / 0x551d

0x182 by

Bank 0x009 / 0x5520

0x183 c
0x184 cabin
0x185 Caitlin
0x186 cakes
0x187 call
0x188 Callander
0x189 called
0x18a calls
0x18b calmly
0x18c came
0x18d camel
0x18e Camilla
0x18f camp
0x190 Campfire
0x191 campfire
0x192 camping
0x193 CAN
0x194 can
0x195 can't
0x196 CANADA
0x197 canal
0x198 cancelled
0x199 cannot
0x19a car
0x19b Caravan
0x19c caravan
0x19d card
0x19e cardigan
0x19f care
0x1a0 careers
0x1a1 carnal
0x1a2 carried
0x1a3 carrier
0x1a4 carrying
0x1a5 Carter
0x1a6 cartoons
0x1a7 case
0x1a8 cash
0x1a9 cassette
0x1aa castle
0x1ab casualty
0x1ac catch
0x1ad cattle
0x1ae caused
0x1af causes
0x1b0 causing
0x1b1 caves
0x1b2 celebrate
0x1b3 central
0x1b4 chain-smokes
0x1b5 changed
0x1b6 changes
0x1b7 Channel
0x1b8 character
0x1b9 charges
0x1ba chat
0x1bb cheap
0x1bc cheated
0x1bd cheating
0x1be Check
0x1bf check
0x1c0 checks
0x1c1 Cheddar
0x1c2 cheerful
0x1c3 cheese
0x1c4 Cherry
0x1c5 chest
0x1c6 chickened
0x1c7 child
0x1c8 Childhood
0x1c9 Children
0x1ca children
0x1cb chips
0x1cc Chipwrap
0x1cd choice
0x1ce Choose
0x1cf choose
0x1d0 chose

Bank 0x00a / 0x5652

0x1d1 cider
0x1d2 cigarettes
0x1d3 cigars
0x1d4 Citizens
0x1d5 civil
0x1d6 civilisation
0x1d7 claims
0x1d8 Claire
0x1d9 Claricoates
0x1da classified
0x1db clawing
0x1dc clean
0x1dd cleaned
0x1de cleaner
0x1df cleaning
0x1e0 clear-up
0x1e1 climate
0x1e2 climb
0x1e3 climbed
0x1e4 climbing
0x1e5 clogged
0x1e6 close
0x1e7 clothes
0x1e8 Club
0x1e9 clutter
0x1ea CND
0x1eb coach
0x1ec coal
0x1ed coffee
0x1ee cohabiting
0x1ef coin
0x1f0 coins
0x1f1 collar
0x1f2 collect
0x1f3 colour
0x1f4 colours
0x1f5 come
0x1f6 comes
0x1f7 coming
0x1f8 comma
0x1f9 command
0x1fa commands
0x1fb commented
0x1fc Commodore
0x1fd Common
0x1fe common-sounding
0x1ff communist
0x200 community
0x201 company
0x202 compass
0x203 complain
0x204 complained
0x205 completed
0x206 completely
0x207 Comprehensive
0x208 computer
0x209 computers
0x20a Conan
0x20b Conan's
0x20c conditions
0x20d conkering
0x20e connecting
0x20f Conservative
0x210 considering
0x211 constitution
0x212 consultant
0x213 consultants
0x214 consumer
0x215 consumers
0x216 continue
0x217 continues
0x218 converse
0x219 convert
0x21a converting
0x21b cook
0x21c Cooked
0x21d Cookery
0x21e cooking
0x21f cool
0x220 copied
0x221 copies
0x222 copy
0x223 Corporation
0x224 corridor
0x225 cost
0x226 costs
0x227 could
0x228 couldn't
0x229 council
0x22a count
0x22b counted
0x22c couple
0x22d course
0x22e Courtney
0x22f covered

Bank 0x00b / 0x57dc

0x230 crab
0x231 crack
0x232 Craig
0x233 crane
0x234 crashing
0x235 Crawled
0x236 crawled
0x237 credit
0x238 creep
0x239 crime
0x23a cross-country
0x23b crowd
0x23c Crucifixion
0x23d cruise
0x23e crumblies
0x23f CSE
0x240 Cube
0x241 cultural
0x242 current
0x243 curtains
0x244 customer
0x245 cut
0x246 cutting

Bank 0x00c / 0x583c

0x247 Cyril

Bank 0x00d / 0x5842

0x248 Dad
0x249 Daily
0x24a Daisy
0x24b Daley
0x24c Dali's
0x24d damp
0x24e dangers
0x24f darkened
0x250 darkness
0x251 date
0x252 dates
0x253 daughter
0x254 dawn
0x255 DAY
0x256 day
0x257 days
0x258 dazzling
0x259 dead
0x25a deaf
0x25b deal
0x25c deals
0x25d dear
0x25e Dearest
0x25f Death
0x260 death
0x261 debate
0x262 decent
0x263 decide
0x264 decided
0x265 decimal
0x266 decision
0x267 decisions
0x268 decrepit
0x269 deed
0x26a defeat
0x26b delayed
0x26c delivery
0x26d Dell
0x26e DEMO
0x26f demo
0x270 demonstrate
0x271 demonstration
0x272 deny
0x273 Department
0x274 depths
0x275 Derbyshire
0x276 descended
0x277 deserted
0x278 desolate
0x279 despite
0x27a details
0x27b deter
0x27c determined
0x27d develop
0x27e DHSS

Bank 0x00e / 0x590c

0x27f Diary
0x280 diary
0x281 dictatorships
0x282 Did
0x283 did
0x284 didn't
0x285 difference
0x286 difficult
0x287 difficulty
0x288 dignity
0x289 dinner
0x28a Director
0x28b dirty
0x28c disappointment
0x28d disaster
0x28e discover
0x28f discoverer's
0x290 discuss
0x291 discussion
0x292 disgusted
0x293 disgustingly
0x294 dishonest
0x295 disk
0x296 dispelled
0x297 display
0x298 displayed
0x299 distracted
0x29a district
0x29b ditto
0x29c divert
0x29d Do
0x29e do
0x29f Dock
0x2a0 Doctor
0x2a1 does
0x2a2 doesn't
0x2a3 dog
0x2a4 dog's
0x2a5 doing
0x2a6 dole
0x2a7 Domestic
0x2a8 domestic
0x2a9 DOMINION
0x2aa don't
0x2ab Donaldson
0x2ac done
0x2ad Doone
0x2ae door
0x2af doorstep
0x2b0 Doreen
0x2b1 doreen
0x2b2 double-glazed
0x2b3 double-glazing
0x2b4 doubts
0x2b5 Down
0x2b6 down
0x2b7 downstairs

Bank 0x00f / 0x5a10

0x2b8 Dr
0x2b9 drag
0x2ba drama
0x2bb drape
0x2bc draw
0x2bd dread
0x2be dreadful
0x2bf dreg
0x2c0 dress
0x2c1 dressing
0x2c2 drinks
0x2c3 drips
0x2c4 drive
0x2c5 drives
0x2c6 drop
0x2c7 drought
0x2c8 drown
0x2c9 drunk
0x2ca drunks
0x2cb dry
0x2cc dummy
0x2cd Dunkery
0x2ce during
0x2cf duty

Bank 0x010 / 0x5a50

0x2d0 e
0x2d1 each
0x2d2 eagle
0x2d3 earlier
0x2d4 early
0x2d5 earnings
0x2d6 ears
0x2d7 Earth
0x2d8 easily
0x2d9 easy
0x2da eaten
0x2db eater
0x2dc eating
0x2dd Echo
0x2de eco-freak
0x2df Economic
0x2e0 Edinburgh
0x2e1 EEC
0x2e2 eggs

Bank 0x011 / 0x5a50  [repeat]

Bank 0x012 / 0x5a93

0x2e3 eight
0x2e4 EIGHTH
0x2e5 Electric
0x2e6 electric
0x2e7 electricity
0x2e8 elements
0x2e9 eleven
0x2ea ELEVENTH
0x2eb Elf
0x2ec Elizabeth
0x2ed Elliot
0x2ee Elm
0x2ef else
0x2f0 embarrassing
0x2f1 emerge
0x2f2 emigrate
0x2f3 emigrating
0x2f4 empty
