Banks:

Bank 0x000 / 0x49ed

0x000 0
0x001 1
0x002 10
0x003 105
0x004 10th
0x005 11
0x006 11th
0x007 12th
0x008 13
0x009 13th
0x00a 14
0x00b 14th
0x00c 15th
0x00d 16th
0x00e 17th
0x00f 18th
0x010 19
0x011 1980
0x012 19th
0x013 1ST
0x014 1st
0x015 2
0x016 20
0x017 20th
0x018 21st
0x019 22nd
0x01a 23rd
0x01b 24th
0x01c 25th
0x01d 26th
0x01e 27th
0x01f 28th
0x020 29th
0x021 2nd
0x022 3
0x023 30
0x024 30th
0x025 31
0x026 31st
0x027 35
0x028 37
0x029 3a
0x02a 3rd
0x02b 4
0x02c 40
0x02d 41
0x02e 45
0x02f 47
0x030 4th
0x031 5
0x032 57
0x033 5th
0x034 6
0x035 64
0x036 69
0x037 6th
0x038 7
0x039 76
0x03a 79A
0x03b 7th
0x03c 8
0x03d 89
0x03e 8th
0x03f 9
0x040 99
0x041 9th

Bank 0x001 / 0x4a9e

0x042 A
0x043 a
0x044 abilities
0x045 about
0x046 abstract
0x047 accepting
0x048 accompanied
0x049 according
0x04a achievements
0x04b act
0x04c acting
0x04d actor's
0x04e actress
0x04f acts
0x050 actually
0x051 adaptation
0x052 addressed
0x053 Adidas
0x054 admire
0x055 admit
0x056 admitting
0x057 ADRIAN
0x058 Adrian
0x059 aDRIAN
0x05a Adrian's
0x05b ads
0x05c adultery
0x05d ADVENT
0x05e advertise
0x05f adverts
0x060 advice
0x061 advised
0x062 affaire
0x063 affirmative
0x064 afford
0x065 afraid
0x066 AFTER
0x067 After
0x068 after
0x069 afternoon
0x06a aftershave
0x06b again
0x06c against
0x06d age
0x06e ages
0x06f agnostic
0x070 agree
0x071 agreed
0x072 ahead

Bank 0x002 / 0x4b75

0x073 air
0x074 alarm
0x075 Ale
0x076 Alfred
0x077 Alice
0x078 all
0x079 All
0x07a all
duplicate entry in dictionary: all 0x78
0x07b allowed
0x07c allows
0x07d alone
0x07e along
0x07f always
0x080 am
