Banks:

Bank 0x000 / 0x303e

0x000 0
0x001 000
0x002 1
0x003 10
0x004 100
0x005 1000
0x006 100m
0x007 100th
0x008 101
0x009 1986
0x00a 2
0x00b 3
0x00c 39
0x00d 4
0x00e 5
0x00f 6
0x010 7
0x011 8
0x012 800
0x013 9
0x014 9UR

Bank 0x001 / 0x307b

0x015 A
0x016 a
0x017 aAAAR
0x018 about
0x019 above
0x01a abyss
0x01b acceleration
0x01c Accommodation
0x01d accommodation
0x01e according
0x01f achieve
0x020 across
0x021 activate
0x022 additional
0x023 adjusting
0x024 ADMIN
0x025 advancing
0x026 adventure
0x027 adventures
0x028 aerosol
0x029 AFFECTED
0x02a AFFIRMATIVE
0x02b affirmative
0x02c afraid
0x02d again
0x02e agaliarept
0x02f ahead
0x030 ahem

Bank 0x002 / 0x3119

0x031 Air
0x032 air
0x033 airbed
0x034 aircon
0x035 airflask
0x036 airlock
0x037 aisle
0x038 alcove
0x039 alert
0x03a alien
0x03b all
0x03c allows
0x03d almost
0x03e alongside
0x03f Alpha
0x040 alpha
0x041 already
0x042 also
0x043 although
0x044 always
0x045 am
0x046 amble
0x047 amidst
0x048 an
0x049 ancient
0x04a And
0x04b and
0x04c Android
0x04d android
0x04e angel
0x04f animals
0x050 answer
0x051 any
0x052 anyone
0x053 anything
0x054 apart
0x055 aperture
0x056 apparently
0x057 apple

Bank 0x003 / 0x3196

0x058 archive
0x059 Arcturan
0x05a are
0x05b area
0x05c AREAS
0x05d arf
0x05e arfle
0x05f armour
0x060 around
0x061 arrives
0x062 as
0x063 assortment
0x064 asteroid
0x065 at
0x066 atoll
0x067 attach
0x068 attached
0x069 attack
0x06a attempts
0x06b attention
0x06c attract
0x06d audible
0x06e Austin
0x06f author
0x070 authorisation
0x071 authorised
0x072 authors
0x073 autodoctor
0x074 autopilot
0x075 Avon
0x076 away

Bank 0x004 / 0x3211

0x077 back
0x078 backwards
0x079 bad
0x07a badly
0x07b bank
0x07c bare
0x07d barely
0x07e barfle
0x07f barrier
0x080 bars
0x081 base
0x082 basin
0x083 bath
0x084 bathroom
0x085 batpack
0x086 batpak
0x087 battered
0x088 battering
0x089 battery
0x08a bay
0x08b BE
0x08c be
0x08d beach
0x08e beam
0x08f bearing
0x090 becomes
0x091 becoming
0x092 bed
0x093 bedroom
0x094 been
0x095 beep
0x096 before
0x097 behaviour
0x098 behind
0x099 beige
0x09a bein
0x09b bellowed
0x09c below
0x09d benches
0x09e beside
0x09f Beta
0x0a0 better
0x0a1 between
0x0a2 beyond

Bank 0x005 / 0x3211  [repeat]

Bank 0x006 / 0x328c

0x0a3 bit
0x0a4 bite
0x0a5 black
0x0a6 blade
0x0a7 blast
0x0a8 blaster
0x0a9 blasts
0x0aa blaze
0x0ab blazes
0x0ac blinds
0x0ad blink
0x0ae blinking
0x0af blocks
0x0b0 blow
0x0b1 blue
0x0b2 board
0x0b3 body
0x0b4 bolt
0x0b5 bolted
0x0b6 bomb
0x0b7 bony
0x0b8 boosts
0x0b9 bothered
0x0ba bottled
0x0bb bottom
0x0bc bounces
0x0bd bovver
0x0be Box
0x0bf box

Bank 0x007 / 0x32d8

0x0c0 bracelet
0x0c1 branches
0x0c2 breathe
0x0c3 bridge
0x0c4 brief
0x0c5 bright
0x0c6 brighter
0x0c7 brightly
0x0c8 brightness
0x0c9 Brilliant
0x0ca broken
0x0cb brown
0x0cc BS24
0x0cd bubble
0x0ce buckled
0x0cf BUG
0x0d0 bulk
0x0d1 bumble
0x0d2 bump
0x0d3 bunch
0x0d4 burning
0x0d5 burns
0x0d6 burnt
0x0d7 Business
0x0d8 but
0x0d9 butler
0x0da button
0x0db buttoned
0x0dc buttons

Bank 0x008 / 0x3345

0x0dd by

Bank 0x009 / 0x3348

0x0de C
0x0df C2H2
0x0e0 cab
0x0e1 cabin
0x0e2 cable
0x0e3 call
0x0e4 calling
0x0e5 can
0x0e6 can't
0x0e7 candles
0x0e8 cannot
0x0e9 carbon
0x0ea card
0x0eb carefully
0x0ec carpetted
0x0ed carriage
0x0ee carried
0x0ef carry
0x0f0 carrying
0x0f1 carved
0x0f2 case
0x0f3 cases
0x0f4 cassette
0x0f5 cat
0x0f6 catch
0x0f7 catsucker
0x0f8 cave
0x0f9 ceiling
0x0fa cell
0x0fb central
0x0fc ceramic
0x0fd chain
0x0fe chair
0x0ff change
0x100 changes
0x101 chaos
0x102 chemicals
0x103 Choosing
0x104 chop
0x105 Christians
0x106 chuck
0x107 churned
0x108 chute

Bank 0x00a / 0x33ce

0x109 circular
0x10a Citizen
0x10b clank
0x10c clanking
0x10d classic
0x10e clawhooks
0x10f clean
0x110 cleaning
0x111 cleans
0x112 clear
0x113 clearly
0x114 cliff
0x115 climb
0x116 climbing
0x117 clinging
0x118 close
0x119 closed
0x11a closes
0x11b closing
0x11c clustered
0x11d coated
0x11e COBOL
0x11f cocoon
0x120 code
0x121 COFFIN
0x122 coffin
0x123 coffins
0x124 collapses
0x125 collar
0x126 collide
0x127 collision
0x128 COLONIST
0x129 colonists
0x12a colony
0x12b colossal
0x12c combination
0x12d comes
0x12e comfortable
0x12f completely
0x130 complex
0x131 component
0x132 comprehensive
0x133 computers
0x134 Computing
0x135 concise
0x136 condo
0x137 confusion
0x138 connector
0x139 console
0x13a contacted
0x13b container
0x13c containers
0x13d contents
0x13e context
0x13f contoured
0x140 Control
0x141 control
0x142 controls
0x143 converse
0x144 cool
0x145 copyright
0x146 coral
0x147 corner
0x148 corpse
0x149 Correct
0x14a corridor
0x14b corroded
0x14c couch
0x14d could
0x14e couldn't
0x14f counter
0x150 course
0x151 covered

Bank 0x00b / 0x3502

0x152 craft
0x153 cramped
0x154 crash
0x155 crate
0x156 crate's
0x157 crates
0x158 crawlway
0x159 credit
0x15a credits
0x15b crew
0x15c crewmember
0x15d crewmembers
0x15e criss-cross
0x15f crops
0x160 cross
0x161 crucial
0x162 crude
0x163 crudely
0x164 crushes
0x165 crystal
0x166 cubic
0x167 cubicle
0x168 cubicles
0x169 cup
0x16a cupboard
0x16b current
0x16c currents
0x16d curved
0x16e curves
0x16f curving
0x170 custard
0x171 cut
0x172 cute

Bank 0x00c / 0x356b

0x173 cyladder
0x174 cylinder
0x175 cylinders
0x176 cylindrical

Bank 0x00d / 0x357f

0x177 d
0x178 Damage
0x179 damaged
0x17a damaging
0x17b dangerous
0x17c dark
0x17d dash
0x17e date
0x17f dazzle
0x180 dazzlingly
0x181 dead
0x182 dear
0x183 debt
0x184 decades
0x185 deceleration
0x186 decorate
0x187 decrepit
0x188 deep
0x189 defects
0x18a dent
0x18b depths
0x18c descended
0x18d descends
0x18e describe
0x18f desert
0x190 design
0x191 designed
0x192 DESK
0x193 Desk
0x194 despite
0x195 details

Bank 0x00e / 0x35ed

0x196 diagnostic
0x197 Diary
0x198 diary
0x199 didn't
0x19a dig
0x19b digging
0x19c dilithium
0x19d diner
0x19e dioxide
0x19f direction
0x1a0 directions
0x1a1 directly
0x1a2 disc
0x1a3 discs
0x1a4 disgust
0x1a5 disk
0x1a6 disks
0x1a7 dispense
0x1a8 display
0x1a9 displays
0x1aa distance
0x1ab distraught
0x1ac divides
0x1ad do
0x1ae docking
0x1af doctor
0x1b0 does
0x1b1 doesn't
0x1b2 dome
0x1b3 don't
0x1b4 door
0x1b5 doors
0x1b6 doorway
0x1b7 double
0x1b8 down
0x1b9 downwards
0x1ba dozen
0x1bb dozer

Bank 0x00f / 0x3669

0x1bc drapes
0x1bd dream
0x1be Dreams
0x1bf drink
0x1c0 drinks
0x1c1 droid
0x1c2 DROID-HANDLED
0x1c3 DROIDS
0x1c4 Droids
0x1c5 drop
0x1c6 duct
0x1c7 dumpy
0x1c8 dusted
0x1c9 dusty
0x1ca dwarfed

Bank 0x010 / 0x36b4

0x1cb e
0x1cc each
0x1cd early
0x1ce Earth
0x1cf easier
0x1d0 east
0x1d1 east-west
0x1d2 easy
0x1d3 eat
0x1d4 eating
0x1d5 Eden
0x1d6 edge
0x1d7 EEEEEK
0x1d8 effect
0x1d9 eh

Bank 0x011 / 0x36b4  [repeat]

Bank 0x012 / 0x36ea

0x1da eight
0x1db eighteenth
0x1dc eighth
0x1dd elaborate
0x1de electroflute
0x1df eLEVATOR
0x1e0 elevator
0x1e1 eleventh
0x1e2 elite
0x1e3 embarkation
0x1e4 embedded
0x1e5 emerges
0x1e6 empty
0x1e7 encouraging
0x1e8 end
0x1e9 ends
0x1ea Engine
0x1eb engine
0x1ec engineered
0x1ed engineering
0x1ee engines
0x1ef England
0x1f0 engraved
0x1f1 engulfs
0x1f2 enormous
0x1f3 enter
0x1f4 entered
0x1f5 enters
0x1f6 entirely
0x1f7 entrance
0x1f8 entries

Bank 0x013 / 0x3774

0x1f9 equipment
0x1fa equipped
0x1fb escaped
0x1fc escaping
0x1fd etc
0x1fe Eurogibburocratish
0x1ff even
0x200 everything
0x201 examine
0x202 except
0x203 exercisers
0x204 Exit
0x205 exit
0x206 exits
0x207 expanded
0x208 expanse
0x209 expect
0x20a explodes
0x20b explore
0x20c explosion
0x20d extensively
0x20e exterior
0x20f extinguish
0x210 extinguisher
0x211 extra

Bank 0x014 / 0x37e1

0x212 eyes

Bank 0x015 / 0x37e5

0x213 faceless
0x214 facility
0x215 fades
0x216 fails
0x217 faint
0x218 fall
0x219 fallen
0x21a fans
0x21b far
0x21c farm
0x21d fast
0x21e fasten
0x21f fatal
0x220 faults
0x221 favourite
0x222 featureless
0x223 feel
0x224 feels
0x225 fends
0x226 few

Bank 0x016 / 0x381c

0x227 fibres
0x228 fiercely
0x229 fifteenth
0x22a fifth
0x22b fight
0x22c figure
0x22d Files
0x22e filing
0x22f fill
0x230 filled
0x231 filling
0x232 fills
0x233 filters
0x234 filthy
0x235 find
0x236 finish
0x237 fire
0x238 fires
0x239 FIRST
0x23a First
0x23b first
0x23c fit
0x23d fits
0x23e five
0x23f fix
0x240 fixed
0x241 fixes
0x242 flames
0x243 flashing
0x244 flask
0x245 flat
0x246 FLESHIE
0x247 flexible
0x248 flexiconnector
0x249 flicker
0x24a flickering
0x24b flickers
0x24c flickery
0x24d flies
0x24e Flight
0x24f flight
0x250 float
0x251 floating
0x252 floats
0x253 floor
0x254 flowers
0x255 flute
0x256 foamed
0x257 following
0x258 for
0x259 forced
0x25a forest
0x25b forgot
0x25c form
0x25d forming
0x25e forms
0x25f forwards
0x260 four
0x261 fourteenth
0x262 fourth

Bank 0x017 / 0x38e3

0x263 fragrant
0x264 frail
0x265 free
0x266 Freezer
0x267 freezer
0x268 Freezers
0x269 freezers
0x26a freshness
0x26b from
0x26c fronds
0x26d front
0x26e frozen
0x26f FUEL
0x270 fuel
0x271 full
0x272 fundroids
0x273 furniture
0x274 furry
0x275 further
0x276 Fusion
0x277 futile

Bank 0x018 / 0x3938

0x278 game
0x279 game-relevance
0x27a games
0x27b gangway
0x27c gap
0x27d gaping
0x27e garbage
0x27f garment
0x280 Genetics
0x281 gentle
0x282 gently
0x283 get

Bank 0x019 / 0x3938  [repeat]

Bank 0x01a / 0x3964

0x284 Gigabrain
0x285 GIGO
0x286 Gimme
0x287 give
0x288 glade
0x289 glare
0x28a glaring
0x28b glass
0x28c glasses
0x28d glassy
0x28e gleaming
0x28f glittering
0x290 gloom
0x291 gloop
0x292 glowgems
0x293 go
0x294 goes
0x295 going
0x296 good
0x297 gouged
0x298 government's
0x299 gown

Bank 0x01b / 0x39af

0x29a grabs
0x29b grained
0x29c graphics
0x29d grasses
0x29e gratefully
0x29f GRAUNCH
0x2a0 great
0x2a1 green
0x2a2 Greetings
0x2a3 grey
0x2a4 grill
0x2a5 grimy
0x2a6 grip
0x2a7 Groan
0x2a8 ground
0x2a9 ground's
0x2aa guards
0x2ab guess
0x2ac gulf
0x2ad gulls
0x2ae gun

Bank 0x01c / 0x3a00

0x2af habidome
0x2b0 habidome
duplicate entry in dictionary: habidome 0x2af
0x2b1 hacked
0x2b2 had
0x2b3 hall
0x2b4 hand
0x2b5 handels
0x2b6 handgun
0x2b7 handles
0x2b8 hang
0x2b9 hanger
0x2ba hangs
0x2bb happens
0x2bc hard
0x2bd has
0x2be hat
0x2bf HAVE
0x2c0 have
0x2c1 he
0x2c2 head
0x2c3 heading
0x2c4 heap
0x2c5 hear
0x2c6 Heatsink
0x2c7 heavy
0x2c8 held
0x2c9 helmet
0x2ca Help
0x2cb help
0x2cc helps
0x2cd hemidome
0x2ce her
0x2cf here

Bank 0x01d / 0x3a00  [repeat]

Bank 0x01e / 0x3a60

0x2d0 hidden
0x2d1 high
0x2d2 higher
0x2d3 highlights
0x2d4 Hilton
0x2d5 hippo's
0x2d6 his
0x2d7 hiss
0x2d8 hit
0x2d9 hold
0x2da holding
0x2db holds
0x2dc hole
0x2dd hollow
0x2de holo
0x2df holojectors
0x2e0 holowand
