Banks:

Bank 0x000 / 0x3337

0x000 1
0x001 10
0x002 1000
0x003 12
0x004 1986
0x005 20
0x006 39
0x007 500
0x008 6
0x009 9
0x00a 9UR

Bank 0x001 / 0x3363

0x00b A
0x00c a
0x00d about
0x00e above
0x00f access
0x010 accordance
0x011 account
0x012 acid
0x013 across
0x014 action
0x015 active
0x016 acuity
0x017 additives
0x018 adopted
0x019 adventure
0x01a Adventurer
0x01b advert
0x01c adverts
0x01d afraid
0x01e after
0x01f again
0x020 against
0x021 agent
0x022 agitprop

Bank 0x002 / 0x33b8

0x023 aid
0x024 air
0x025 alarm
0x026 alcove
0x027 alien
0x028 aliens
0x029 all
0x02a allowed
0x02b allows
0x02c almost
0x02d along
0x02e alpine
0x02f already
0x030 also
0x031 although
0x032 altruistic
0x033 amongst
0x034 amplify
0x035 an
0x036 ancient
0x037 and
0x038 and
duplicate entry in dictionary: and 0x37
0x039 angrily
0x03a angry
0x03b animals
0x03c annoyance
0x03d annoyed
0x03e Another
0x03f answer
0x040 any
0x041 anyone
0x042 anything
0x043 appear
0x044 appears
0x045 apple

Bank 0x003 / 0x3426

0x046 arch
0x047 arches
0x048 Are
0x049 are
0x04a area
0x04b areas
0x04c arm
0x04d armoured
0x04e army
0x04f around
0x050 arrest
0x051 arrested
0x052 arrests
0x053 as
0x054 ask
0x055 asking
0x056 asleep
0x057 asphyxiate
0x058 assassins
0x059 At
0x05a at
0x05b athletic
0x05c attach
0x05d attached
0x05e attack
0x05f attendant
0x060 attention
0x061 attractive
0x062 Austin
0x063 authorised
0x064 authors
0x065 automatic
0x066 available
0x067 avenue
0x068 avoid
0x069 Avon
0x06a awake
0x06b away

Bank 0x004 / 0x34a5

0x06c back
0x06d backlit
0x06e bad
0x06f badge
0x070 balcony
0x071 balmy
0x072 bandit
0x073 bandit's
0x074 bank
0x075 bar
0x076 barrel
0x077 base
0x078 bat-winged
0x079 bath
0x07a batpak
0x07b battered
0x07c batteries
0x07d battery
0x07e battlefield
0x07f bay
0x080 be
0x081 beautiful
0x082 becomes
0x083 BED
0x084 bed
0x085 bedrock
0x086 beds
0x087 beech
0x088 been
0x089 beeps
0x08a before
0x08b beginner
0x08c behemoth
0x08d behemoth-sized
0x08e behind
0x08f bein
0x090 being
0x091 belonged
0x092 below
0x093 bench
0x094 beneath
0x095 beside
0x096 bets
0x097 better
0x098 between
0x099 beyond

Bank 0x005 / 0x34a5  [repeat]

Bank 0x006 / 0x3532

0x09a big
0x09b birds
0x09c Bison
0x09d Bisons
0x09e bit
0x09f bite
0x0a0 black
0x0a1 blankly
0x0a2 bleak
0x0a3 block
0x0a4 blocking
0x0a5 blow
0x0a6 blue
0x0a7 boardroom
0x0a8 body
0x0a9 bodymaint
0x0aa boiling
0x0ab bones
0x0ac book
0x0ad books
0x0ae boss
0x0af both
0x0b0 bother
0x0b1 bottle
0x0b2 boulders
0x0b3 bouncing
0x0b4 bouquet
0x0b5 Box
0x0b6 box
0x0b7 boxes

Bank 0x007 / 0x3587

0x0b8 brambles
0x0b9 branches
0x0ba break
0x0bb breaking
0x0bc breaks
0x0bd breeze
0x0be brick
0x0bf Bright
0x0c0 brightly
0x0c1 brilliance
0x0c2 bring
0x0c3 broadcast
0x0c4 brooch
0x0c5 brown
0x0c6 BS24
0x0c7 bubble
0x0c8 buffalos
0x0c9 bug-eyed
0x0ca bugs
0x0cb buildings
0x0cc bump
0x0cd bumps
0x0ce burnt
0x0cf bury
0x0d0 but
0x0d1 butterflies
0x0d2 button
0x0d3 buttons
0x0d4 buy
0x0d5 buzz
0x0d6 buzzes

Bank 0x008 / 0x35f1

0x0d7 by

Bank 0x009 / 0x35f4

0x0d8 C
0x0d9 called
0x0da calls
0x0db camera
0x0dc can
0x0dd can't
0x0de cancelled
0x0df candidate
0x0e0 cannot
0x0e1 card
0x0e2 cardboard
0x0e3 cards
0x0e4 carpet
0x0e5 carry
0x0e6 carrying
0x0e7 cascading
0x0e8 casino
0x0e9 catacombs
0x0ea catches
0x0eb cave
0x0ec ceiling
0x0ed cell
0x0ee central
0x0ef centre
0x0f0 centre's
0x0f1 ceremony
0x0f2 chain
0x0f3 chair
0x0f4 chamber
0x0f5 change
0x0f6 changes
0x0f7 charge
0x0f8 charges
0x0f9 chasm
0x0fa chatter
0x0fb check
0x0fc checked
0x0fd checks
0x0fe chest
0x0ff chirps
0x100 choice

Bank 0x00a / 0x3671

0x101 circle
0x102 citizen
0x103 citizens
0x104 city
0x105 claim
0x106 clanking
0x107 cleaning
0x108 clerk
0x109 cleverness
0x10a clicks
0x10b cliff
0x10c climb
0x10d climbing
0x10e climbs
0x10f close
0x110 closed
0x111 closely
0x112 closer
0x113 closes
0x114 clothes
0x115 cloud
0x116 cluster
0x117 cluttered
0x118 cobbled
0x119 cocoon
0x11a coded
0x11b collar
0x11c collars
0x11d colony
0x11e colour
0x11f coloured
0x120 colours
0x121 come
0x122 comes
0x123 comfort
0x124 comfortable
0x125 comfortably
0x126 coming
0x127 command
0x128 commentary
0x129 complains
0x12a completely
0x12b complex
0x12c computerised
0x12d Computing
0x12e concrete
0x12f Congratulations
0x130 congratulations
0x131 conscientious
0x132 constant
0x133 consultant
0x134 contacted
0x135 contains
0x136 continue
0x137 control
0x138 controls
0x139 cops
0x13a copyright
0x13b core
0x13c cork
0x13d corner
0x13e corp
0x13f correct
0x140 corridor
0x141 cost
0x142 costume
0x143 couch
0x144 could
0x145 couldn't
0x146 council
0x147 counter
0x148 coupling
0x149 course
0x14a cover
0x14b covering
0x14c covers

Bank 0x00b / 0x3781

0x14d crack
0x14e cred
0x14f credits
0x150 creds
0x151 crestfallen
0x152 crevice
0x153 cricket
0x154 crimes
0x155 criminal
0x156 criticism
0x157 cross
0x158 crosses
0x159 crowd
0x15a crumbling
0x15b crushes
0x15c cubicle
0x15d cue
0x15e cup
0x15f curfew
0x160 curiosity
0x161 current
0x162 curved
0x163 custard
0x164 Custodian
0x165 cut
0x166 cute
0x167 cutting

Bank 0x00c / 0x37da

0x168 cycle

Bank 0x00d / 0x37df

0x169 d
0x16a dagget
0x16b dais
0x16c dancers
0x16d dangerous
0x16e dark
0x16f darkening
0x170 dart
0x171 dashes
0x172 day
0x173 day's
0x174 dead
0x175 deal
0x176 Death
0x177 death
0x178 debt
0x179 decorated
0x17a deep
0x17b deficiency
0x17c delayed
0x17d delicious
0x17e delighted
0x17f descend
0x180 desert
0x181 designed
0x182 desk
0x183 desolate
0x184 despite
0x185 despondently
0x186 device
0x187 devour

Bank 0x00e / 0x3843

0x188 didn't
0x189 difficult
0x18a dig
0x18b direct
0x18c director
0x18d disappointed
0x18e disc
0x18f discount
0x190 disguised
0x191 disgusting
0x192 dishevelled
0x193 display
0x194 distance
0x195 Do
0x196 do
0x197 doctors
0x198 documentary
0x199 dodge
0x19a doesn't
0x19b dog
0x19c doing
0x19d dome
0x19e don't
0x19f done
0x1a0 Doom
0x1a1 door
0x1a2 doors
0x1a3 doubtfully
0x1a4 down
0x1a5 downwards
0x1a6 dozens

Bank 0x00f / 0x38b1

0x1a7 drag
0x1a8 dragons
0x1a9 drags
0x1aa dream
0x1ab Dreams
0x1ac drink
0x1ad drive
0x1ae droid
0x1af droids
0x1b0 drop
0x1b1 dropped
0x1b2 drops
0x1b3 dry
0x1b4 dull
0x1b5 dump
0x1b6 dumpy
0x1b7 Duncton
0x1b8 Dune
0x1b9 dust
0x1ba dustpan

Bank 0x010 / 0x38e8

0x1bb e
0x1bc each
0x1bd ear
0x1be earn
0x1bf Earth
0x1c0 Earthsea
0x1c1 earthworm
0x1c2 east
0x1c3 east-bound
0x1c4 east-west
0x1c5 eat
0x1c6 echo
0x1c7 echoes
0x1c8 Eden
0x1c9 educational
0x1ca eerie
0x1cb effect

Bank 0x011 / 0x38e8  [repeat]

Bank 0x012 / 0x3925

0x1cc eight
0x1cd eighteenth
0x1ce eighth
0x1cf elaborate
0x1d0 electric
0x1d1 elevator
0x1d2 eleventh
0x1d3 elite
0x1d4 emerge
0x1d5 emergency
0x1d6 empty
0x1d7 end
0x1d8 endless
0x1d9 ends
0x1da enduring
0x1db enemies
0x1dc enemy
0x1dd England
0x1de enjoy
0x1df Enoch
0x1e0 Enoch's
0x1e1 enough
0x1e2 enraged
0x1e3 ensure
0x1e4 entangled
0x1e5 enter
0x1e6 enters
0x1e7 entire
0x1e8 entrance

Bank 0x013 / 0x398e

0x1e9 escaping
0x1ea escorted
0x1eb escorts
0x1ec essential
0x1ed established
0x1ee ET
0x1ef evaporates
0x1f0 eventually
0x1f1 every
0x1f2 everybody
0x1f3 everything
0x1f4 everywhere
0x1f5 evidence
0x1f6 evil
0x1f7 examine
0x1f8 examining
0x1f9 except
0x1fa excess
0x1fb exhaustion
0x1fc exhibits
0x1fd exist
0x1fe EXIT
0x1ff exit
0x200 exitedly
0x201 exits
0x202 Experienced
0x203 extinguish
0x204 extinguisher

Bank 0x014 / 0x3a0f

0x205 eyes

Bank 0x015 / 0x3a13

0x206 fabled
0x207 fabulous
0x208 face
0x209 faced
0x20a faces
0x20b facility
0x20c facing
0x20d fades
0x20e fail
0x20f fairly
0x210 fake
0x211 falling
0x212 falls
0x213 False
0x214 false
0x215 famous
0x216 far
0x217 fasten
0x218 fastened
0x219 fathers
0x21a featuring
0x21b fee
0x21c feel
0x21d fellow
0x21e festooned
0x21f few

Bank 0x016 / 0x3a60

0x220 fiction
0x221 fields
0x222 fifteenth
0x223 fifth
0x224 fight
0x225 fighting
0x226 file
0x227 fill
0x228 filling
0x229 final
0x22a find
0x22b finding
0x22c finds
0x22d fine
0x22e fined
0x22f finest
0x230 finished
0x231 fire
0x232 fires
0x233 first
0x234 fit
0x235 fizzy
0x236 flag
0x237 flags
0x238 flagseller
0x239 flake
0x23a flash
0x23b flashing
0x23c flat
0x23d flatlands
0x23e flattened
0x23f fleshie
0x240 flexible
0x241 flies
0x242 flood
0x243 floodlit
0x244 floor
0x245 florist
0x246 flow
0x247 flower
0x248 flowers
0x249 fluid
0x24a flutter
0x24b flying
0x24c foam
0x24d follow
0x24e followed
0x24f following
0x250 follows
0x251 footsteps
0x252 for
0x253 force
0x254 forest
0x255 forget
0x256 forgot
0x257 fortunately
0x258 forty
0x259 founder
0x25a fountain
0x25b fourteenth
0x25c fourth
0x25d foyer

Bank 0x017 / 0x3b11

0x25e fragrant
0x25f free
0x260 frenzy
0x261 friend
0x262 from
0x263 full
0x264 fuming
0x265 fun
0x266 fun-filled
0x267 functions
0x268 furrow
0x269 further
0x26a future
0x26b fuzbot
0x26c fuzbots

Bank 0x018 / 0x3b42

0x26d game
0x26e games
0x26f garbage
0x270 garden
0x271 garment
0x272 gas
0x273 gate
0x274 genius
0x275 gently
0x276 Get
0x277 get
0x278 gets

Bank 0x019 / 0x3b42  [repeat]

Bank 0x01a / 0x3b62

0x279 giant
0x27a giblets
0x27b gingerly
0x27c give
0x27d gives
0x27e giving
0x27f glances
0x280 Glory
0x281 glowing
0x282 go
0x283 goes
0x284 going
0x285 gone
0x286 good
0x287 Goodbye
0x288 Goodnight
0x289 government

Bank 0x01b / 0x3b9e

0x28a grabs
0x28b Grand
0x28c grand
0x28d grass
0x28e grassy
0x28f grave
0x290 gravel
0x291 great
0x292 green
0x293 greener
0x294 greenwood
0x295 greetings
0x296 greets
0x297 grey
0x298 grid
0x299 grill
0x29a grinds
0x29b ground
0x29c group
0x29d growing
0x29e guard
0x29f guarded
0x2a0 guide
0x2a1 gun

Bank 0x01c / 0x3be1

0x2a2 habihall
0x2a3 habihome
0x2a4 hall
0x2a5 halt
0x2a6 hand
0x2a7 hands
0x2a8 hanging
0x2a9 happens
0x2aa happily
0x2ab happy
0x2ac hard
0x2ad hardware
0x2ae has
0x2af hasn't
0x2b0 have
0x2b1 he
0x2b2 head
0x2b3 head-high
0x2b4 heap
0x2b5 hear
0x2b6 heather
0x2b7 heavy
0x2b8 height
0x2b9 hello
0x2ba helmet
0x2bb Help
0x2bc help
0x2bd her
0x2be herbs
0x2bf here
0x2c0 heroically
0x2c1 herself
0x2c2 Hey

Bank 0x01d / 0x3be1  [repeat]

Bank 0x01e / 0x3c3b

0x2c3 hi-de-hi
0x2c4 hidden
0x2c5 hide
0x2c6 high
0x2c7 hill
0x2c8 him
0x2c9 himself
0x2ca hinges
0x2cb his
0x2cc hisses
0x2cd history
0x2ce hit
0x2cf hold
0x2d0 holders
0x2d1 hole
0x2d2 HOME
0x2d3 home
0x2d4 honour
0x2d5 hoofshake
0x2d6 horrified
0x2d7 Horsler
0x2d8 hospital
0x2d9 hothouse
0x2da hour
0x2db hours
0x2dc house
0x2dd housing
0x2de How
0x2df how
0x2e0 howl

Bank 0x01f / 0x3c9c

0x2e1 hub
0x2e2 human
0x2e3 humans
0x2e4 humming
0x2e5 hundreds
0x2e6 hurry

Bank 0x020 / 0x3caf

0x2e7 I
0x2e8 i
0x2e9 I'll
0x2ea i'll
0x2eb i'm
0x2ec idiot
0x2ed if
0x2ee ignores
0x2ef ignoring

Bank 0x021 / 0x3caf  [repeat]

Bank 0x022 / 0x3ccc

0x2f0 illegal
0x2f1 imagination
0x2f2 imitation
0x2f3 immediate
0x2f4 implanted
0x2f5 important
0x2f6 impressive
0x2f7 in
0x2f8 indeed
0x2f9 indicator
