Banks:

Bank 0x000 / 0x34e3

0x000 0
0x001 1
0x002 10
0x003 1000
0x004 12
0x005 19
0x006 1985
0x007 20
0x008 3
0x009 3d
0x00a 4
0x00b 5
0x00c 50
0x00d 500
0x00e 6
0x00f 69
0x010 7
0x011 9
0x012 99

Bank 0x001 / 0x3518

0x013 A
0x014 a
0x015 about
0x016 above
0x017 accept
0x018 access
0x019 accordance
0x01a account
0x01b acid
0x01c across
0x01d action
0x01e activate
0x01f active
0x020 acts
0x021 acuity
0x022 additives
0x023 adopted
0x024 advantage
0x025 adventure
0x026 Adventurer
0x027 advert
0x028 adverts
0x029 affectionate
0x02a affirmative
0x02b afirmative
0x02c afraid
0x02d after
0x02e afternoon
0x02f again
0x030 against
0x031 age
0x032 agent
0x033 agitprop
0x034 agree

Bank 0x002 / 0x3592

0x035 aid
0x036 air
0x037 alarm
0x038 alcove
0x039 alert
0x03a alien
0x03b aliens
0x03c All
0x03d all
0x03e allow
0x03f allowed
0x040 almost
0x041 along
0x042 alpine
0x043 already
0x044 also
0x045 although
0x046 altruistic
0x047 am
0x048 amble
0x049 amongst
0x04a amplify
0x04b an
0x04c ancient
0x04d and
0x04e and
duplicate entry in dictionary: and 0x4d
0x04f angry
0x050 animal
0x051 animals
0x052 annoyed
0x053 Another
0x054 another
0x055 answer
0x056 any
0x057 anyone
0x058 appear
0x059 appears
0x05a apple
0x05b apples

Bank 0x003 / 0x3608

0x05c aquire
0x05d arch
0x05e arches
0x05f Are
0x060 are
0x061 area
0x062 areas
0x063 arm
0x064 armchair
0x065 armour
0x066 armoured
0x067 Army
0x068 around
0x069 arouse
0x06a arrest
0x06b arrested
0x06c arrests
0x06d as
0x06e ascend
0x06f ask
0x070 asking
0x071 asleep
0x072 assassins
0x073 assault
0x074 assembled
0x075 At
0x076 at
0x077 athletic
0x078 attach
0x079 attached
0x07a attack
0x07b attendant
0x07c attention
0x07d attractive
0x07e authorised
0x07f automatic
0x080 availability
0x081 available
